Restaurant Name,City,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Rating color,Rating text,Votes
Jahanpanah,Agra,"North Indian, Mughlai",850,No,No,3,3.9,Yellow,Good,140
Rangrezz Restaurant,Agra,"North Indian, Mughlai",700,No,No,2,3.5,Yellow,Good,71
Time2Eat - Mama Chicken,Agra,North Indian,500,No,No,2,3.6,Yellow,Good,94
Chokho Jeeman Marwari Jain Bhojanalya,Agra,Rajasthani,400,No,No,2,4.0,Green,Very Good,87
Pinch Of Spice,Agra,"North Indian, Chinese, Mughlai",1000,No,No,3,4.2,Green,Very Good,177
MoMo Cafe,Agra,"North Indian, European",2000,No,No,4,4.0,Green,Very Good,45
Peshawri - ITC Mughal,Agra,"North Indian, Mughlai",2500,No,No,4,4.3,Green,Very Good,133
Taj Bano - ITC Mughal,Agra,Mughlai,2500,No,No,4,4.0,Green,Very Good,41
G Thal,Agra,"Rajasthani, Gujarati, Mughlai",800,No,No,3,3.6,Yellow,Good,59
Dawat-e-Nawab - Radisson Blu,Agra,"North Indian, Mughlai",3600,No,No,4,3.8,Yellow,Good,46
The Latitude - Radisson Blu,Agra,"North Indian, Chinese, Continental",0,No,No,1,3.9,Yellow,Good,103
Dasaprakash Restaurant,Agra,"South Indian, Desserts",550,No,No,2,4.1,Green,Very Good,121
The Charcoal Chimney,Agra,"North Indian, Chinese, Continental, Mughlai",1100,No,No,3,3.4,Orange,Average,70
Sheroes Hangout,Agra,"Cafe, North Indian, Chinese",0,No,No,1,4.9,Dark Green,Excellent,77
Bon Barbecue,Agra,"North Indian, Chinese, Continental",1500,No,No,4,3.8,Yellow,Good,57
Chapter 1 Cafe,Agra,"Cafe, Italian, Mexican, North Indian, Continental",0,No,No,1,3.9,Yellow,Good,98
Pind Balluchi,Agra,"North Indian, Mughlai",900,No,No,3,3.7,Yellow,Good,175
Pizza Hut,Agra,"Italian, Pizza",700,No,No,2,4.4,Green,Very Good,134
Tea'se Me - Rooftop Tea Boutique,Agra,"Chinese, Italian, Continental, North Indian",1000,No,No,3,4.2,Green,Very Good,166
Thaaliwala,Agra,"North Indian, Fast Food",700,No,No,2,4.1,Green,Very Good,168
650 - The Global Kitchen,Ahmedabad,"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",900,No,No,3,4.2,Green,Very Good,1582
Patang - The Revolving Restaurant,Ahmedabad,"Continental, Chinese, North Indian",1800,No,No,4,3.7,Yellow,Good,1315
Huber & Holly,Ahmedabad,"Ice Cream, Desserts, Continental",300,No,Yes,1,4.5,Dark Green,Excellent,217
@Mango,Ahmedabad,"North Indian, Continental, Mexican, Italian",800,No,No,3,4.1,Green,Very Good,769
Fozzie's Pizzaiolo,Ahmedabad,"Pizza, Italian, Beverages, Desserts",900,No,Yes,3,4.3,Green,Very Good,731
La Pino'z Pizza,Ahmedabad,"Pizza, Italian",500,No,Yes,2,4.4,Green,Very Good,113
Mocha,Ahmedabad,"Cafe, Continental, Desserts",1000,No,Yes,3,4.4,Green,Very Good,944
Blue -  Rooftop Cafe Restaurant Bistro,Ahmedabad,"North Indian, Cafe, Italian, Mexican, Continental",1000,No,Yes,3,3.8,Yellow,Good,63
MoMo Caf�� - Courtyard By Marriott,Ahmedabad,"North Indian, South Indian, Asian, Continental",1400,No,No,3,3.6,Yellow,Good,375
Cryo Lab,Ahmedabad,"Desserts, Ice Cream",350,No,No,2,4.6,Dark Green,Excellent,166
Swati Snacks,Ahmedabad,"Fast Food, Street Food, South Indian",450,No,No,2,4.4,Green,Very Good,697
Brick Kitchen,Ahmedabad,"North Indian, Chinese, Continental",900,No,No,3,4.3,Green,Very Good,325
Kabir Restaurant,Ahmedabad,"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",600,No,Yes,2,3.8,Yellow,Good,432
Puffizza,Ahmedabad,"Italian, Fast Food",700,No,Yes,2,4.3,Green,Very Good,744
Cafe Alfresco,Ahmedabad,"Cafe, Beverages, Desserts, Pizza",700,No,Yes,2,4.0,Green,Very Good,404
The Cafe Baraco,Ahmedabad,"Cafe, Italian",600,No,Yes,2,4.4,Green,Very Good,317
Nini's Kitchen,Ahmedabad,"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",950,No,Yes,3,4.5,Dark Green,Excellent,1138
Yanki Sizzlers,Ahmedabad,"Continental, Italian, Chinese",1200,No,No,3,4.1,Green,Very Good,1041
The Garden Cafe - The Fern,Ahmedabad,"North Indian, Italian, Asian, South Indian",1200,No,No,3,4.1,Green,Very Good,192
Mazzo,Ahmedabad,"Cafe, American, Continental, Armenian, Fast Food",550,No,Yes,2,3.9,Yellow,Good,166
Turquoise Villa,Ahmedabad,Continental,1200,No,No,3,4.0,Green,Very Good,535
Aryan Family's Delight,Allahabad,"North Indian, South Indian, Fast Food",500,No,No,3,3.4,Orange,Average,57
Bean Here,Allahabad,"Cafe, Fast Food",350,No,No,2,3.3,Orange,Average,76
Bikanerwala,Allahabad,"North Indian, Street Food, Fast Food",500,No,No,3,3.2,Orange,Average,51
Dewsis,Allahabad,"North Indian, Chinese",600,No,No,3,3.4,Orange,Average,99
Friends Forever,Allahabad,"North Indian, Chinese",600,No,No,3,3.4,Orange,Average,83
Hotel Ravisha Continental,Allahabad,"North Indian, South Indian, Chinese",600,No,No,3,3.4,Orange,Average,18
KFC,Allahabad,"American, Fast Food",500,No,No,3,3.4,Orange,Average,58
McDonald's,Allahabad,Fast Food,400,No,No,2,3.3,Orange,Average,53
Pind Balluchi,Allahabad,"North Indian, Mughlai",800,No,No,3,3.2,Orange,Average,6
Pizza Hut,Allahabad,"Italian, Pizza",700,No,No,3,3.4,Orange,Average,35
Subway,Allahabad,"Fast Food, American, Salad, Healthy Food",400,No,No,2,3.4,Orange,Average,32
Tandoor Restaurant,Allahabad,"North Indian, Chinese",500,No,No,3,3.2,Orange,Average,151
The BrewMaster,Allahabad,"North Indian, Chinese, Italian",0,No,No,1,3.3,Orange,Average,49
The Tamarind Tree,Allahabad,"South Indian, Chinese",500,No,No,3,3.4,Orange,Average,106
Cafe El Chico,Allahabad,"Continental, Italian",1000,No,No,4,3.6,Yellow,Good,59
Eat On,Allahabad,North Indian,200,No,No,1,3.7,Yellow,Good,105
Hot Stuff,Allahabad,"North Indian, Fast Food",500,No,No,3,3.5,Yellow,Good,105
Paradise,Allahabad,"Desserts, Fast Food",500,No,No,3,3.6,Yellow,Good,57
