LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice,SellingDate,BuildingDate,RemodAddDate
65.0,8450,7,5,196.0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2,548,0,61,0,0,0,0,0,208500,2008-01-02,2003-01-09,2003-01-09
80.0,9600,6,8,0.0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,2,460,298,0,0,0,0,0,0,181500,2007-01-05,1976-01-08,1976-01-08
68.0,11250,7,5,162.0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2,608,0,42,0,0,0,0,0,223500,2008-01-09,2001-01-03,2002-01-11
60.0,9550,7,5,0.0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,3,642,0,35,272,0,0,0,0,140000,2006-01-02,1915-01-08,1970-01-06
84.0,14260,8,5,350.0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,3,836,192,84,0,0,0,0,0,250000,2008-01-12,2000-01-10,2000-01-10
85.0,14115,5,5,0.0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,2,480,40,30,0,320,0,0,700,143000,2009-01-10,1993-01-04,1995-01-10
75.0,10084,8,5,186.0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2,636,255,57,0,0,0,0,0,307000,2007-01-08,2004-01-10,2005-01-03
0.0,10382,7,6,240.0,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,2,484,235,204,228,0,0,0,350,200000,2009-01-11,1973-01-11,1973-01-11
51.0,6120,7,5,0.0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,2,468,90,0,205,0,0,0,0,129900,2008-01-04,1931-01-01,1950-01-05
50.0,7420,5,6,0.0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1,205,0,4,0,0,0,0,0,118000,2008-01-01,1939-01-05,1950-01-10
70.0,11200,5,5,0.0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1,384,0,0,0,0,0,0,0,129500,2008-01-02,1965-01-08,1965-01-08
85.0,11924,9,5,286.0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,3,736,147,21,0,0,0,0,0,345000,2006-01-07,2005-01-06,2006-01-01
0.0,12968,5,6,0.0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1,352,140,0,0,0,176,0,0,144000,2008-01-09,1962-01-12,1962-01-12
91.0,10652,7,5,306.0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,3,840,160,33,0,0,0,0,0,279500,2007-01-08,2006-01-10,2007-01-06
0.0,10920,6,5,212.0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1,352,0,213,176,0,0,0,0,157000,2008-01-05,1960-01-07,1960-01-07
51.0,6120,7,8,0.0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,2,576,48,112,0,0,0,0,0,132000,2007-01-07,1929-01-12,2001-01-10
0.0,11241,6,7,180.0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,2,480,0,0,0,0,0,0,700,149000,2010-01-03,1970-01-04,1970-01-04
72.0,10791,4,5,0.0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,2,516,0,0,0,0,0,0,500,90000,2006-01-10,1967-01-05,1967-01-05
66.0,13695,5,5,0.0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2,576,0,102,0,0,0,0,0,159000,2008-01-06,2004-01-04,2004-01-04
70.0,7560,5,6,0.0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1,294,0,0,0,0,0,0,0,139000,2009-01-05,1958-01-08,1965-01-05
101.0,14215,8,5,380.0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,3,853,240,154,0,0,0,0,0,325300,2006-01-11,2005-01-10,2006-01-04
57.0,7449,7,7,0.0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1,280,0,0,205,0,0,0,0,139400,2007-01-06,1930-01-03,1950-01-09
75.0,9742,8,5,281.0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2,534,171,159,0,0,0,0,0,230000,2008-01-09,2002-01-02,2002-01-02
44.0,4224,5,7,0.0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,2,572,100,110,0,0,0,0,0,129900,2007-01-06,1976-01-09,1976-01-09
0.0,8246,5,8,0.0,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1,270,406,90,0,0,0,0,0,154000,2010-01-05,1968-01-06,2001-01-05
110.0,14230,8,5,640.0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,3,890,0,56,0,0,0,0,0,256300,2009-01-07,2007-01-03,2007-01-03
60.0,7200,5,7,0.0,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2,576,222,32,0,0,0,0,0,134800,2010-01-05,1951-01-11,2000-01-11
98.0,11478,8,5,200.0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,3,772,0,50,0,0,0,0,0,306000,2010-01-05,2007-01-11,2008-01-05
47.0,16321,5,6,0.0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1,319,288,258,0,0,0,0,0,207500,2006-01-12,1957-01-03,1997-01-05
60.0,6324,4,6,0.0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,1,240,49,0,87,0,0,0,0,68500,2008-01-05,1927-01-08,1950-01-07
50.0,8500,4,4,0.0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1,250,0,54,172,0,0,0,0,40000,2008-01-07,1920-01-06,1950-01-09
