,NumUnderscore,NumNumericChars,RelativeFormAction,IpAddress,AtSymbol,TildeSymbol,RightClickDisabled,NumHash,HttpsInHostname,SubdomainLevel,PathLevel,RandomString,NumDashInHostname,NumPercent,FakeLinkInStatusBar,QueryLength,AbnormalFormAction,DomainInSubdomains,HostnameLength,EmbeddedBrandName,DomainInPaths,ExtFavicon,NumDash,NumAmpersand,NumQueryComponents,InsecureForms,PctExtResourceUrls,id,UrlLength,PctNullSelfRedirectHyperlinks,NumDots,CLASS_LABEL
712,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3435,66.0,0.0,3.0,1
4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,9734,34.0,0.0,2.0,0
1519,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5178,73.0,0.0,1.0,0
2548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8478,26.0,0.0,3.0,0
1282,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4300,59.0,0.0,3.0,1
549,3.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0,0.0,0.0,52.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,952,119.0,0.0,4.0,1
2522,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7489,75.0,0.0,3.0,0
1298,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,9977,,,2.0,0
1422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0,0.0,0.0,60.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,6048,114.0,0.0,3.0,0
444,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,,0.0,,0.0,1.0,0.0,1409,55.0,0.0,4.0,1
1174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,122,68.0,,2.0,1
1445,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0.0,,12.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,6038,75.0,,,0
793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4295,85.0,0.0,2.0,1
829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,8007,79.0,0.0,3.0,0
785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,8.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5246,96.0,0.0,1.0,0
697,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,334,44.0,0.0,3.0,1
1293,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,5176,96.0,0.0,,0
2665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8692,45.0,0.0,1.0,0
424,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0,1.0,0.0,0.0,0.0,,29.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,2761,82.0,0.0,,1
1477,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6757,88.0,0.0,2.0,0
690,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9681,49.0,0.0,2.0,0
1139,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,1.0,1,0.0,0.0,58.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,2380,,0.0,2.0,1
2144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9307,,0.0,2.0,0
458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,1.0,0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5510,105.0,0.0,4.0,0
2655,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,368,40.0,0.0,1.0,1
1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9725,51.0,0.0,2.0,0
836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4605,46.0,0.0,2.0,1
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,4704,67.0,0.0,3.0,1
1688,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,,0.0,1.0,0.0,13.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,419,44.0,,2.0,1
2128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,9901,57.0,0.0,3.0,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,8.0,0.0,0.0,10.0,0.0,1.0,0.0,,0.0,1.0,1.0,0.0,9596,36.0,0.0,2.0,0
1372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2447,89.0,0.0,6.0,1
1452,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0,0.0,0.0,95.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1070,141.0,0.0,2.0,1
