extformaction,extfavicon,atsymbol,domaininsubdomains,querylength,randomstring,hostnamelength,urllength,numpercent,subdomainlevel,pctnullselfredirecthyperlinks,fakelinkinstatusbar,relativeformaction,numdash,frequentdomainnamemismatch,pctexthyperlinks,numquerycomponents,numnumericchars,numunderscore,domaininpaths,pathlength,insecureforms,abnormalformaction,pctextresourceurls,numsensitivewords,tildesymbol,embeddedbrandname,httpsinhostname,doubleslashinpath,numhash,numampersand,id,class_label
0,1,0,0,10,1,22,147,0,2,0,0,0,0,0,0,1,0,1,0,107,1,0,0,0,0,0,0,0,0,0,5708,0
1,0,0,0,0,1,14,92,0,0,0,0,0,0,0,0,0,0,8,1,71,1,0,0,0,0,0,0,0,0,0,7628,0
0,0,0,0,0,1,22,67,0,0,0,0,1,0,0,0,0,0,0,1,38,1,0,0,0,0,0,0,0,0,0,6427,0
0,0,0,0,0,0,23,42,0,1,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0,4085,1
0,0,0,0,0,1,24,48,0,1,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,3035,1
0,1,0,0,33,1,13,101,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,0,2,0,0,0,0,0,0,464,1
0,0,0,0,0,1,27,90,0,1,0,0,1,0,0,0,0,0,2,1,56,1,0,0,0,0,0,0,0,0,0,3672,1
0,0,0,0,0,1,19,42,0,1,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,0,0,3382,1
1,0,0,0,0,0,22,65,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,5987,0
0,0,0,0,0,1,21,68,0,1,0,0,1,0,0,0,0,0,0,1,40,1,0,0,0,0,0,0,0,0,0,2961,1
0,1,0,0,0,1,12,77,0,1,0,0,0,0,0,0,0,0,0,1,58,0,0,0,0,0,1,0,0,0,0,7907,0
0,0,0,0,0,0,15,48,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,2404,1
