,InsecureForms,AbnormalFormAction,TildeSymbol,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,NumQueryComponents,PathLevel,NumUnderscore,FakeLinkInStatusBar,id,CLASS_LABEL
2305,1,0,0,0,0,0,3,0,0,9680,0
1958,1,0,0,0,0,1,1,0,0,8554,0
893,1,0,0,0,0,0,2,0,0,8615,0
312,1,0,0,0,0,0,9,1,0,977,1
71,0,0,0,0,0,0,2,0,0,13,1
901,0,0,0,0,0,1,2,0,0,9127,0
1654,1,0,0,0,0,0,5,0,0,8004,0
1933,1,0,0,0,0,0,1,0,0,570,1
123,1,1,0,0,0,0,12,1,0,3582,1
2353,1,0,0,0,0,0,5,0,0,4596,1
62,1,0,0,0,0,0,3,0,0,4339,1
398,1,0,0,0,0,0,4,0,0,5464,0
1220,1,0,0,0,0,0,3,0,0,7728,0
2145,1,0,0,0,0,0,4,0,0,3660,1
851,1,0,0,0,0,0,2,0,0,4565,1
1824,1,0,0,0,0,0,3,0,0,2931,1
2550,1,0,0,0,0,0,3,0,0,4210,1
1076,1,0,0,0,0,0,2,0,0,3173,1
1844,0,0,0,0,0,0,5,0,0,5280,0
479,0,0,1,0,0,0,5,0,0,727,1
1674,1,0,0,0,0,0,5,0,0,3601,1
1619,1,0,0,0,0,0,4,0,0,3684,1
2126,1,0,0,0,0,0,3,0,0,5753,0
463,1,0,0,0,0,0,3,0,0,4206,1
2241,1,0,0,0,0,0,2,0,0,6285,0
1828,1,0,0,0,0,0,4,0,0,459,1
980,1,0,0,0,0,1,5,1,0,5846,0
1926,1,0,0,0,0,1,2,0,0,9602,0
2249,1,0,0,0,0,0,3,0,0,9335,0
2392,1,0,0,0,0,0,2,0,0,2134,1
1667,1,0,0,0,0,0,4,0,0,832,1
2363,1,0,0,0,0,0,4,1,0,7572,0
232,1,0,0,0,0,0,1,0,0,4753,1
2493,1,0,0,0,0,3,2,0,0,6054,0
2570,1,0,0,0,0,0,2,0,0,3612,1
986,1,0,0,0,0,0,0,0,0,8008,0
1348,1,0,0,0,0,0,5,0,0,5851,0
571,1,0,0,0,0,0,5,0,0,4672,1
1707,1,0,0,0,0,0,3,0,0,788,1
1750,1,0,0,0,0,0,3,0,0,4316,1
2479,1,1,0,0,0,0,6,0,0,6234,0
811,0,0,0,0,0,0,1,0,0,8965,0
1381,1,0,0,0,0,0,2,0,0,655,1
1729,1,0,0,0,0,0,1,0,0,2766,1
1212,1,0,0,0,0,0,2,0,0,1063,1
1053,0,0,0,0,0,7,1,0,0,6075,0
1899,0,0,0,0,0,0,1,0,0,4485,1
1533,0,0,0,0,0,3,2,1,0,7120,0
2106,0,0,0,0,0,0,0,0,0,5079,0
2158,1,0,0,0,0,0,2,0,0,4073,1
164,0,0,0,0,0,0,2,5,0,6476,0
1106,1,0,0,0,0,0,4,0,0,9348,0
1995,1,1,0,0,0,0,3,0,0,1309,1
1668,1,0,0,0,0,0,3,0,0,8126,0
1851,1,0,0,0,0,0,4,0,0,5643,0
1165,1,0,0,0,0,0,6,1,0,1215,1
1867,1,0,0,0,0,0,3,0,0,4449,1
309,0,0,0,0,0,6,4,0,0,5602,0
2476,1,0,0,0,0,0,0,0,0,9562,0
1599,1,0,0,0,0,0,7,3,0,4540,1
2304,1,0,0,0,0,0,3,0,0,3884,1
2477,1,0,0,0,0,0,4,0,0,5736,0
2013,1,0,0,0,0,0,4,0,0,2126,1
607,1,0,0,0,0,0,7,0,0,3078,1
817,1,0,0,0,0,0,3,0,0,8097,0
494,1,0,0,0,0,0,4,0,0,1408,1
749,1,1,1,0,0,0,3,0,0,3847,1
1390,1,0,0,0,0,1,1,0,0,6114,0
2624,1,0,0,0,0,0,2,0,0,150,1
1430,0,0,0,0,0,1,4,0,0,4759,1
578,1,0,0,0,0,0,6,0,0,6026,0
2641,1,0,0,0,0,0,2,0,0,46,1
999,0,0,0,0,0,0,2,0,0,7334,0
1241,1,0,0,0,0,0,1,0,0,8712,0
739,1,0,0,0,0,0,7,0,0,1754,1
385,1,0,0,0,0,0,4,0,0,1219,1
1356,1,0,0,0,0,0,6,0,0,3041,1
424,1,0,0,0,0,0,4,0,0,2761,1
429,1,0,0,0,0,0,2,0,0,1571,1
916,0,0,0,0,0,0,3,0,0,6132,0
1007,0,0,0,0,0,0,4,0,0,3252,1
797,1,0,0,0,0,0,2,0,0,5611,0
295,1,0,0,0,0,0,2,0,0,6419,0
2056,1,0,0,0,0,0,3,0,0,6777,0
1805,1,0,0,0,0,0,2,0,0,8538,0
2250,0,0,0,0,0,0,3,0,0,176,1
1941,1,0,0,0,0,0,3,0,0,477,1
689,1,0,0,0,0,0,3,0,0,4335,1
263,1,0,0,0,0,0,4,0,0,614,1
932,1,0,0,0,0,0,1,0,0,2686,1
715,0,0,0,0,0,0,3,4,0,8083,0
77,1,0,0,0,0,0,2,0,0,8351,0
2197,1,0,0,0,0,0,7,0,0,1360,1
1675,1,0,0,0,0,0,5,0,0,1160,1
282,1,0,0,0,0,0,2,0,0,1037,1
1807,1,1,0,0,0,0,3,0,0,3549,1
616,1,0,0,0,0,0,3,0,0,5987,0
2135,1,0,0,0,0,0,5,3,0,4552,1
1814,1,0,0,0,0,0,6,0,0,6363,0
1424,1,0,0,0,0,2,4,0,0,5462,0
599,1,0,0,0,0,0,4,0,1,9223,0
942,1,0,0,0,0,1,2,1,0,6561,0
2027,1,0,0,0,0,0,3,0,0,3208,1
1615,0,0,0,0,0,0,2,0,0,9104,0
1159,1,0,0,0,0,1,0,0,0,9752,0
1566,1,0,0,0,0,0,3,0,0,2986,1
1746,1,0,0,0,0,0,3,0,0,9140,0
914,1,0,0,0,0,3,5,2,0,6388,0
1660,1,0,0,0,0,0,3,0,0,163,1
2532,1,0,0,0,0,0,2,0,0,3747,1
2399,1,0,0,0,0,0,5,0,0,3691,1
2381,0,0,0,0,0,2,2,0,0,6411,0
370,1,0,0,0,0,0,3,0,0,4673,1
332,1,0,0,0,0,0,5,0,0,1180,1
94,1,0,0,0,0,0,6,0,0,7760,0
390,1,1,0,0,0,6,2,1,0,5551,0
2505,1,0,0,0,0,0,5,0,0,4505,1
1838,1,0,0,0,0,0,7,0,0,3552,1
389,1,0,0,0,0,0,4,0,0,3817,1
360,1,0,0,0,0,0,5,0,0,6554,0
80,1,0,0,0,0,0,4,0,0,5625,0
837,1,0,0,0,0,0,3,0,0,9073,0
879,1,0,0,0,0,0,8,1,0,4794,1
1737,0,0,0,0,0,0,2,0,0,9942,0
2124,1,0,0,0,0,4,4,0,0,6624,0
1017,1,0,0,0,0,0,2,0,0,5968,0
2180,1,0,0,0,0,0,3,0,0,4151,1
565,1,0,0,0,0,0,3,0,0,4470,1
2083,1,0,0,0,0,3,1,1,0,5488,0
1468,1,0,0,0,0,0,3,0,0,820,1
1048,1,1,0,0,0,0,2,0,0,7834,0
637,1,0,0,0,0,0,5,0,0,3999,1
342,1,0,0,0,0,1,4,7,0,5649,0
1337,1,0,0,0,0,0,2,0,0,93,1
215,0,0,0,0,0,0,1,0,0,8571,0
2159,1,0,0,0,0,0,3,0,0,4544,1
1026,1,0,1,0,0,0,5,0,0,346,1
2349,1,0,1,0,0,0,3,0,0,3380,1
2193,1,0,0,0,0,1,2,0,0,1031,1
2443,0,0,0,0,0,0,2,0,0,9605,0
1012,1,0,0,0,0,0,3,0,0,7898,0
570,0,0,0,0,0,1,1,1,0,9456,0
487,0,0,0,0,0,0,4,1,0,9698,0
255,1,0,0,0,0,0,4,0,0,3079,1
269,1,0,0,0,0,0,6,0,0,5106,0
231,1,0,0,0,0,0,6,0,0,2478,1
1449,0,0,0,0,0,0,4,0,0,9282,0
296,0,0,0,0,0,2,4,0,0,6303,0
1327,1,0,0,0,0,0,3,0,0,634,1
186,1,0,0,0,0,0,6,0,0,3055,1
1726,1,0,0,0,0,0,2,0,0,2019,1
2592,1,0,0,0,0,0,2,0,0,1652,1
1891,1,0,0,0,0,0,5,0,0,4061,1
2643,1,0,0,0,0,0,4,0,0,4838,1
771,1,0,0,0,0,0,5,0,0,7625,0
103,1,0,0,0,0,0,0,0,0,8334,0
1514,0,0,0,0,0,0,8,0,0,6618,0
2274,1,0,0,0,0,2,2,0,0,6935,0
2321,0,0,0,0,0,0,3,0,0,7272,0
938,1,0,0,0,0,6,3,0,0,417,1
456,1,0,0,0,0,0,6,0,0,1429,1
2065,1,0,0,0,0,0,6,0,0,5574,0
574,1,0,1,0,0,0,5,0,0,4028,1
898,1,0,0,0,0,0,5,0,0,1566,1
1143,1,0,0,0,0,0,2,0,0,2599,1
481,1,0,0,0,0,0,1,0,0,2252,1
329,0,0,0,0,0,0,3,0,0,9238,0
1910,1,0,0,0,0,0,2,0,0,7116,0
2169,1,0,0,0,0,0,7,0,0,7944,0
145,1,0,0,0,0,0,1,0,0,9624,0
705,1,0,0,0,0,1,3,5,0,639,1
322,1,0,0,0,0,0,3,0,0,131,1
470,1,0,0,0,0,2,2,0,0,2071,1
52,1,0,0,0,0,0,1,0,0,7662,0
1126,0,0,0,0,0,0,0,0,0,8416,0
201,1,0,0,0,0,6,4,6,0,2394,1
1793,1,0,0,0,0,0,5,0,1,4903,1
209,1,0,0,0,0,0,1,0,0,1684,1
3,0,0,0,0,0,4,2,3,0,5666,0
1432,1,0,0,0,0,4,3,9,0,8189,0
159,1,0,0,0,0,0,5,0,0,821,1
2569,0,0,0,0,0,0,3,0,0,5337,0
2597,1,0,0,0,0,0,2,0,0,1614,1
2096,1,0,0,0,0,0,7,1,0,4700,1
206,1,0,0,0,0,0,3,0,0,4799,1
909,1,1,0,0,0,0,2,0,0,8634,0
1496,1,0,0,0,0,0,3,0,0,7844,0
2466,1,1,0,0,0,1,3,0,0,5582,0
2208,0,0,0,0,0,0,3,0,0,8651,0
162,0,0,0,0,0,0,8,0,0,5614,0
2497,1,0,0,0,0,0,4,0,0,1381,1
1990,1,0,0,0,0,0,6,0,0,3063,1
278,1,0,0,0,0,0,3,0,0,7087,0
2028,1,0,0,0,0,0,4,0,0,3027,1
520,1,0,0,0,0,0,7,0,0,2317,1
228,1,0,0,0,0,0,4,0,0,3934,1
649,1,0,0,0,0,0,9,2,0,1861,1
418,1,0,0,0,0,0,9,0,0,1841,1
962,1,0,0,0,0,0,6,0,0,4982,1
1134,1,0,0,0,0,0,3,0,0,9142,0
354,1,0,0,0,0,0,2,0,0,5305,0
1703,1,0,0,0,0,0,1,0,0,9600,0
2332,1,0,0,0,0,0,3,0,0,2634,1
2237,1,0,0,0,0,0,2,0,0,4196,1
2172,1,0,0,0,0,0,4,0,0,3397,1
541,1,0,0,0,0,0,2,0,0,780,1
335,1,0,0,0,0,0,2,0,0,7789,0
1336,1,0,0,0,0,0,3,0,0,834,1
731,1,0,0,0,0,0,3,0,0,4960,1
1345,1,0,0,0,0,0,3,0,0,3930,1
2000,1,0,0,0,0,0,4,0,0,2845,1
2482,1,0,0,0,0,0,4,0,0,4281,1
2021,1,0,0,0,0,0,1,1,0,455,1
1541,0,0,0,0,0,0,3,0,0,9627,0
2490,1,0,0,0,0,0,3,0,0,3477,1
430,1,0,0,0,0,0,1,0,0,5903,0
566,0,0,0,0,0,0,2,0,0,8967,0
20,1,0,0,0,0,0,3,0,0,4229,1
529,1,0,0,0,0,0,3,0,0,1990,1
440,0,0,0,0,0,0,3,0,0,8530,0
1565,1,0,0,0,0,0,3,0,0,4810,1
2556,1,0,0,0,0,0,3,4,0,7826,0
878,1,0,0,0,0,0,2,0,0,9048,0
484,1,0,0,0,0,0,3,0,0,169,1
2576,1,0,0,0,0,0,3,1,0,6379,0
6,1,0,0,0,0,0,3,0,0,596,1
1655,1,0,0,0,0,0,4,0,0,4538,1
2622,1,0,0,0,0,0,3,0,0,1852,1
426,1,0,0,0,0,0,2,6,0,5544,0
1540,1,0,0,0,0,4,1,1,0,7463,0
2174,0,0,0,0,0,0,4,0,0,7972,0
819,1,0,0,0,0,0,1,0,0,7290,0
1532,1,0,0,0,0,0,0,0,0,8890,0
733,1,0,0,0,0,0,3,0,0,3387,1
2112,0,0,0,0,0,3,2,4,0,7345,0
2247,0,0,0,0,0,0,3,0,0,8564,0
996,0,0,0,0,0,0,1,0,0,8309,0
859,1,0,0,0,0,1,2,0,1,9905,0
1873,1,0,0,0,0,0,5,0,0,7501,0
591,1,0,0,0,0,0,3,0,0,2747,1
100,1,0,0,0,0,0,5,0,0,1158,1
1112,1,0,0,0,0,0,2,0,0,2320,1
2150,0,0,0,0,0,0,2,0,0,5998,0
147,1,0,0,0,0,4,1,0,0,7281,0
2048,1,0,0,0,0,0,5,4,0,8042,0
307,1,0,0,0,0,0,5,0,0,9871,0
1755,1,0,0,0,0,0,1,0,0,8453,0
1304,1,0,0,0,0,0,0,0,0,5037,0
1830,1,0,0,0,0,0,6,0,0,4456,1
1130,1,1,0,0,0,0,3,0,0,3205,1
1765,1,0,0,0,0,0,0,0,0,8661,0
350,1,0,0,0,0,0,1,0,0,8633,0
2255,0,0,0,0,0,1,3,1,0,9631,0
357,0,0,0,0,0,0,2,0,0,6099,0
2651,1,0,0,0,0,0,2,0,1,4429,1
1633,1,0,0,0,0,0,4,0,0,591,1
619,1,0,0,0,0,0,6,0,0,1324,1
738,1,0,0,0,0,0,2,0,0,4163,1
2254,1,0,0,0,0,0,4,0,0,3713,1
2461,1,0,0,0,0,0,5,0,0,1189,1
2307,0,0,0,0,0,0,4,0,0,9755,0
1775,0,0,0,0,0,0,0,0,0,9358,0
1022,1,0,0,0,0,0,2,0,0,8996,0
1802,1,0,0,0,0,0,6,1,0,2751,1
1523,1,1,0,0,0,0,2,0,0,9246,0
1453,1,1,0,0,0,0,3,0,0,1196,1
1309,0,0,0,0,0,0,2,0,0,6126,0
876,1,0,0,0,0,0,2,0,0,3742,1
1211,1,1,0,0,0,0,3,0,0,8417,0
413,1,0,0,0,0,3,2,0,0,8224,0
2554,0,0,0,0,0,0,7,1,0,8274,0
382,1,0,0,0,0,0,3,0,0,3616,1
324,1,0,0,0,0,1,4,0,0,292,1
922,1,0,0,0,0,0,0,0,0,5052,0
1919,1,0,0,0,0,0,2,0,0,7241,0
2147,1,0,0,0,0,0,5,0,0,4010,1
2480,1,0,0,0,0,0,5,0,0,4078,1
2374,1,1,0,0,0,0,4,0,0,3376,1
400,0,0,0,0,0,0,1,1,0,7302,0
826,1,0,1,0,0,0,5,0,0,2034,1
1700,1,0,0,0,0,0,3,0,0,3362,1
336,0,0,0,0,0,0,4,0,0,5458,0
1412,1,0,0,0,0,0,3,0,0,7522,0
2104,1,0,0,0,0,0,4,0,0,5926,0
2464,1,0,0,0,0,0,2,0,0,1953,1
1388,1,0,0,0,0,0,3,0,0,1504,1
2334,1,0,0,0,0,0,2,0,0,8689,0
283,1,0,0,0,0,0,2,0,0,5193,0
1024,0,0,0,0,0,0,2,0,0,6371,0
2108,0,0,0,0,0,0,2,0,0,7858,0
1206,1,0,0,0,0,0,3,0,0,3941,1
503,0,0,0,0,0,0,8,0,0,5591,0
1992,1,0,0,0,0,0,2,0,0,9753,0
299,1,0,0,0,0,3,2,0,0,6193,0
1553,1,0,0,0,0,0,3,0,0,8608,0
852,1,0,0,0,0,0,2,0,0,2065,1
1355,1,0,0,0,0,4,1,2,0,5562,0
2328,1,1,0,0,0,0,5,0,0,9438,0
421,1,0,0,0,0,1,2,0,0,8577,0
460,1,0,0,0,0,1,4,0,0,6578,0
1105,1,0,0,0,0,0,4,0,0,2652,1
2306,1,1,0,0,0,1,1,0,0,9654,0
2177,1,0,0,0,0,0,3,0,0,3587,1
1204,1,0,0,0,0,0,5,0,0,7741,0
1706,0,0,0,0,0,0,6,0,0,5911,0
653,1,0,0,0,0,3,5,7,0,157,1
184,0,0,0,0,0,0,18,0,0,5592,0
2192,1,0,0,0,0,0,8,0,0,1714,1
1957,1,0,0,0,0,0,6,0,0,5884,0
1460,1,0,0,0,0,0,6,0,0,8754,0
1019,1,0,0,0,0,0,5,0,0,2637,1
982,1,0,0,0,0,0,2,0,0,702,1
1303,1,0,0,0,0,0,1,0,0,8545,0
1015,1,0,0,0,0,0,3,0,0,4416,1
369,0,0,0,0,0,0,2,0,0,6678,0
2635,1,0,0,0,0,0,5,0,0,6041,0
437,1,0,0,0,0,0,3,0,0,793,1
2382,1,0,0,0,0,0,4,0,0,4203,1
2521,1,0,0,0,0,0,5,0,0,7785,0
754,1,0,0,0,0,0,3,3,0,6951,0
102,1,0,0,0,0,0,3,0,0,324,1
947,1,0,0,0,0,0,4,0,0,485,1
1342,1,0,0,0,0,1,0,0,0,5502,0
1266,1,0,0,0,0,0,3,0,0,182,1
1113,1,0,0,0,0,0,4,0,0,583,1
365,1,0,0,0,0,0,7,1,0,3681,1
139,1,0,0,0,0,0,4,0,0,3326,1
853,1,0,0,0,0,0,3,0,0,1596,1
1516,1,0,0,0,0,0,10,0,0,2912,1
1777,1,0,0,0,0,0,2,0,0,1077,1
2176,1,0,0,0,0,0,3,8,0,6893,0
377,1,0,0,0,0,1,3,1,0,1296,1
1251,1,0,0,0,0,0,6,0,0,8063,0
2105,1,0,0,0,0,0,2,0,0,234,1
1132,1,0,0,0,0,3,1,4,0,7847,0
849,1,0,0,0,0,0,4,0,0,5878,0
1819,1,0,1,0,0,0,5,0,0,1375,1
217,1,0,0,0,0,0,2,0,0,2137,1
1487,1,0,0,0,0,1,6,0,0,569,1
961,0,0,0,0,0,0,5,0,0,7053,0
1109,1,0,0,0,0,0,3,0,0,2519,1
1984,1,0,0,0,0,0,5,0,0,7534,0
1199,1,0,0,0,0,0,5,0,0,4884,1
742,1,0,0,0,0,2,5,0,0,1644,1
1160,0,0,0,0,0,1,3,0,0,6518,0
830,1,0,0,0,0,0,3,3,0,5962,0
2219,0,0,0,0,0,0,2,1,0,5433,0
414,1,0,0,0,0,0,5,0,0,9771,0
2323,1,0,0,0,0,2,3,3,0,584,1
358,1,0,0,0,0,0,4,0,0,9490,0
1939,1,0,0,0,0,0,2,0,0,363,1
386,1,0,0,0,0,0,2,0,0,5473,0
1404,1,1,0,0,0,0,3,0,0,9918,0
2440,1,1,0,0,0,0,4,0,0,5196,0
306,1,0,0,0,0,0,2,0,0,9550,0
254,1,1,0,0,0,1,1,1,0,8842,0
535,1,0,0,0,0,0,4,0,0,8624,0
2501,1,0,0,0,0,2,3,2,0,618,1
202,1,0,0,0,0,5,4,0,0,5404,0
1125,1,0,0,0,0,0,3,0,0,4292,1
2373,1,0,0,0,0,1,3,0,0,7443,0
1604,1,0,0,0,0,0,6,5,0,5497,0
1747,1,0,0,0,0,0,7,7,0,7515,0
2294,1,1,0,0,0,4,3,1,0,6382,0
1716,1,0,0,0,0,0,6,0,0,4495,1
28,1,0,0,0,0,0,4,0,0,3800,1
218,0,0,0,0,0,2,0,0,0,8999,0
1407,1,0,0,0,0,1,1,0,0,6813,0
1632,1,0,0,0,0,0,2,12,0,3474,1
2573,0,0,0,0,0,0,3,0,0,7291,0
203,1,0,0,0,0,0,3,0,0,2558,1
334,1,0,0,0,0,0,4,0,0,7670,0
486,1,0,0,0,0,0,3,0,0,8536,0
2236,1,0,0,0,0,2,1,0,0,8376,0
363,1,0,0,0,0,0,2,0,0,774,1
808,1,0,0,0,0,1,2,0,0,2377,1
2185,1,0,0,0,0,0,3,0,0,9042,0
2168,0,0,0,0,0,0,2,0,0,8801,0
2156,1,0,0,0,0,0,2,0,0,5357,0
2401,1,0,0,0,0,0,2,0,0,343,1
509,1,0,0,0,0,4,4,0,0,2213,1
2280,1,0,0,0,0,0,4,1,0,8521,0
2015,0,0,0,0,0,0,3,0,0,7919,0
1982,1,0,0,0,0,0,5,0,0,4704,1
157,1,0,0,0,0,0,6,0,0,5317,0
835,1,0,0,0,0,3,3,0,0,935,1
1773,1,0,0,0,0,0,3,0,0,6210,0
394,1,0,0,0,0,0,5,0,0,3304,1
2272,1,0,0,0,0,0,2,1,0,7232,0
1837,1,0,0,0,0,0,2,0,0,4482,1
311,1,0,0,0,0,1,4,5,0,1086,1
2340,1,0,0,0,0,0,2,0,0,815,1
688,1,0,1,0,0,0,5,0,0,1439,1
1864,1,0,0,0,0,0,3,0,0,606,1
1419,1,0,0,0,0,0,8,0,0,6459,0
1917,1,0,0,0,0,0,5,0,0,8196,0
1252,1,0,0,0,0,2,5,8,0,517,1
1669,1,0,0,0,0,0,1,0,0,8693,0
1079,1,0,0,0,0,0,3,0,0,5773,0
1349,1,0,0,0,0,1,4,1,0,4727,1
1591,1,0,0,0,0,0,8,0,0,3348,1
2270,1,0,0,0,0,0,2,0,0,8636,0
1584,0,0,0,0,0,0,3,0,0,5332,0
923,1,0,0,0,0,0,6,1,0,2624,1
1456,1,0,0,0,0,0,2,0,0,4097,1
550,1,0,0,0,0,0,3,0,0,9067,0
1859,1,0,0,0,0,0,5,0,0,4361,1
824,1,0,0,0,0,0,5,0,0,3725,1
2240,1,0,0,0,0,0,6,0,0,4325,1
1357,0,0,0,0,0,2,4,0,0,5163,0
2423,1,0,0,0,0,0,4,0,0,6639,0
2302,1,0,0,0,0,0,2,0,0,1512,1
2055,1,0,0,0,0,0,4,0,0,7067,0
2566,1,0,0,0,0,0,5,0,0,753,1
1146,1,1,0,0,0,2,1,1,0,8492,0
1040,1,1,0,0,0,0,8,1,0,3414,1
939,1,0,0,0,0,2,0,0,0,8248,0
2160,1,1,0,0,0,9,2,7,0,5160,0
921,1,0,0,0,0,0,4,0,0,9014,0
1157,1,0,0,0,0,0,5,0,0,6848,0
313,0,0,0,0,0,0,5,0,0,7133,0
1985,1,0,0,0,0,2,4,7,0,4171,1
1980,0,0,0,0,0,0,0,0,0,5021,0
1630,1,0,0,0,0,0,8,0,0,2990,1
890,1,0,0,0,0,0,3,0,0,2295,1
1840,1,0,0,0,0,0,4,0,0,6427,0
197,1,0,0,0,0,5,10,3,0,2834,1
65,1,0,0,0,0,0,2,0,0,9253,0
1457,1,0,0,0,0,0,2,0,0,8460,0
775,1,0,0,0,0,3,0,3,0,7631,0
2504,1,0,0,0,0,0,3,0,0,516,1
1573,1,0,0,0,0,0,1,0,0,8882,0
1686,1,0,0,0,0,0,6,0,0,3655,1
118,1,0,0,0,0,0,3,0,0,9921,0
474,1,0,0,0,0,0,4,0,0,550,1
1938,1,0,0,0,0,0,3,0,0,2799,1
659,1,0,0,0,0,1,2,0,0,9051,0
698,1,0,0,0,0,1,6,0,0,6326,0
1696,1,0,0,0,0,0,3,0,0,7357,0
709,1,0,0,0,0,0,3,0,0,4773,1
1504,1,0,0,0,0,0,2,0,0,1641,1
1041,1,0,0,0,0,0,3,0,0,8361,0
