id,CLASS_LABEL
7920,0
912,1
6632,0
4537,1
8487,0
5281,1
7151,0
3749,0
8638,0
125,1
8119,0
4428,1
3480,1
480,1
8844,0
5718,0
9726,0
2182,1
3479,1
7913,0
3748,1
5471,0
296,1
3908,0
7688,0
3497,1
8273,0
600,1
9339,0
1049,1
7395,0
7215,0
8121,0
265,1
6803,0
4721,0
984,1
9947,1
8511,0
3798,1
7622,0
2092,1
890,1
7337,0
2077,0
8209,0
7879,0
5828,0
1888,1
8926,0
2941,1
4233,1
8216,0
5525,0
9635,0
4729,1
12,1
8418,0
8819,1
76,0
9352,0
1969,0
4006,1
5596,0
3257,1
8688,0
3589,1
8473,0
1774,1
685,0
5233,0
116,1
7473,0
1957,0
2118,1
9888,0
8992,0
245,1
9186,1
7646,0
6219,0
9361,0
889,1
7912,0
4587,1
8864,0
9313,0
9883,0
7994,1
5769,0
9703,0
947,1
5873,0
1908,0
6620,0
871,1
6697,0
6276,0
9380,1
9046,0
1059,1
1621,1
7915,0
4038,1
6251,0
9058,0
274,1
6253,0
5131,0
9496,0
7791,1
2160,1
962,1
1372,1
5767,0
2307,1
9593,0
8303,0
7939,0
6204,0
7558,1
4772,1
2489,1
7550,0
6530,0
3249,1
6003,0
2898,1
5505,0
1940,1
817,1
5500,0
5493,0
9384,0
243,1
1482,1
376,1
7524,0
3499,1
5000,1
975,1
148,1
779,1
9150,1
1505,1
7627,0
9851,0
9137,0
5864,0
9549,0
9643,0
9956,0
1783,1
7676,0
2339,1
5524,0
5604,0
7191,0
1367,1
5879,0
7854,0
7718,0
1013,1
4591,1
195,1
7787,0
8118,1
7076,0
4543,1
6687,0
3050,1
7809,0
2382,1
2053,1
9283,1
5526,0
9499,0
3618,1
3736,1
4559,1
4434,0
1327,1
7924,0
2502,1
9008,1
6446,0
8583,0
756,1
8547,0
2230,1
4948,0
1561,1
9080,0
7763,0
5418,0
6636,0
4788,1
6013,0
830,1
6959,0
653,1
2063,1
4530,1
9071,1
970,1
4052,1
1976,0
1171,0
1448,1
5923,1
2149,1
7936,0
1535,1
6067,0
7613,0
3297,1
3810,1
4528,1
7256,1
6888,0
8074,0
5624,0
8445,1
6720,0
8757,0
9672,0
5540,0
3082,1
4288,1
1293,0
298,1
8891,0
3716,0
4651,1
8420,0
4490,1
8557,0
5285,0
9381,1
6156,0
6909,0
3830,0
2670,1
7767,0
8206,0
6674,0
7166,0
2227,1
6333,0
2463,1
9738,0
8475,0
6140,0
7159,0
1978,1
2285,1
6060,0
7144,0
1873,1
9880,0
6664,0
6725,0
4132,1
9745,0
6244,0
4892,1
1159,1
4260,1
4214,1
8229,1
2106,1
273,1
1185,1
9845,0
326,1
5601,0
8087,0
4063,1
9399,0
8073,1
4356,1
4755,1
520,1
1581,1
7682,1
2657,1
4070,1
2655,1
9829,0
8153,0
8855,1
2403,1
6332,0
1638,1
2362,0
4771,1
8171,0
7063,0
1463,1
6343,0
7948,1
8390,0
4104,0
8848,0
7292,0
3179,1
5925,0
7784,0
891,1
9333,0
1631,1
28,1
4266,0
9346,1
4702,1
644,1
5056,0
7812,0
4624,1
9298,1
4051,1
9532,0
657,1
2571,1
5365,0
321,1
7691,0
8988,0
5639,0
7736,0
2646,1
3997,1
784,1
589,1
6471,0
360,1
2797,1
809,1
2416,1
1326,1
1368,1
2100,1
8302,0
1678,1
4363,0
9449,0
1020,1
7456,0
4291,0
8562,0
557,1
3088,1
9950,1
6866,0
8285,0
7873,0
6681,1
4937,1
4438,1
6277,0
3879,1
7966,0
8100,0
6683,0
5225,0
1474,1
925,1
8398,0
8267,0
8924,1
4308,1
2844,1
7598,0
7297,0
5990,1
2015,1
7832,0
3868,1
2830,1
8737,0
3554,1
6142,0
9028,1
7450,1
5876,0
2864,1
2672,1
4517,1
6170,0
5952,0
7387,1
8069,0
9453,1
4219,1
3562,0
4669,1
4602,1
6820,0
6844,0
221,1
841,0
2937,1
3970,0
9897,0
6849,0
8437,0
920,1
530,1
4812,1
954,1
2843,1
8792,0
9599,0
1210,1
187,1
682,1
2661,1
3214,1
9203,1
8644,0
3981,1
5392,0
4518,1
9492,0
6155,0
6575,0
5763,0
2561,0
9364,0
9592,0
4652,1
6932,0
5202,0
2388,1
4126,1
6078,0
1437,1
6501,0
2049,1
6370,0
1910,1
5537,0
4711,1
297,1
5900,0
6694,0
7962,0
2183,1
8235,0
5919,1
5617,1
1903,1
7057,0
5513,0
8192,1
6410,0
7266,0
9858,0
9993,0
7062,1
9159,0
7123,0
1244,1
3958,1
7434,0
5389,0
6945,0
4556,0
2391,1
2548,1
5336,0
2780,1
7361,0
2659,1
4835,1
1193,1
6956,0
2113,1
9482,0
4661,1
845,1
3564,1
7189,0
1162,0
663,1
6572,0
3917,0
4055,1
936,1
8676,0
5733,0
7049,0
5261,0
5095,0
6734,0
5017,0
6918,0
4726,0
6206,0
2989,1
9640,0
6999,0
1988,1
7807,0
3971,1
8020,0
9552,0
4307,1
5475,0
6017,0
5560,1
4678,1
1986,1
4201,1
7137,0
8203,1
5741,0
1142,1
4183,1
5243,1
4547,1
2846,1
8137,0
8724,0
1212,1
1152,1
9192,0
6016,0
628,1
8295,1
7872,0
1540,1
5723,0
9043,0
1233,1
3863,0
2198,1
693,1
5162,0
8773,0
9509,0
2842,0
1183,1
5988,1
1467,1
1712,1
1313,0
2029,1
7638,0
6702,0
1717,1
1284,1
3516,1
6646,0
904,1
4115,1
5805,0
8994,0
5581,0
7129,0
2666,1
8532,1
6395,0
7377,0
9133,0
3363,1
1612,1
6543,0
3389,1
858,1
8123,0
3862,0
2694,1
9728,0
3918,1
6997,0
9707,0
9373,0
3372,1
4648,1
4915,0
5147,0
4323,1
973,1
7162,0
7328,0
3368,1
5798,0
5895,0
4042,1
1941,1
8377,0
6493,0
4020,1
3268,1
8767,0
4668,1
1472,1
2711,1
7220,0
7018,0
5236,0
7870,0
2888,1
7492,0
345,1
5776,1
6839,0
8247,0
615,1
1877,1
9739,1
7983,0
9207,0
7028,0
1312,1
7142,0
5896,0
3504,1
3784,1
7934,0
9500,0
7369,0
7039,0
9987,0
8975,0
6679,0
495,1
9972,1
7325,0
2043,1
7596,0
4441,1
6366,0
3735,1
9781,1
2364,1
3982,1
6900,0
8148,0
3745,1
7194,0
19,1
1518,1
3991,1
7262,0
3196,1
1412,1
8262,0
5321,1
5724,0
5224,0
9729,0
6857,0
8852,1
9732,1
8172,0
7780,0
7732,1
9948,0
8220,0
2147,1
4383,1
1965,1
8813,0
6146,0
4372,1
225,0
9788,0
5302,0
9262,0
9853,0
1165,1
6161,0
4007,1
2464,1
6137,0
8141,0
3177,1
6825,1
6307,0
4848,1
2238,1
4299,1
2032,1
4674,1
5761,0
5005,0
522,1
924,1
1084,1
6167,0
341,1
7036,0
1896,1
6669,0
5771,0
7344,0
8017,0
3165,1
2177,1
5689,1
3535,1
4833,0
8720,0
2164,1
3198,1
1182,1
9865,1
17,1
4770,1
8776,1
4046,1
1132,1
681,1
8518,0
2187,1
876,1
8603,1
4657,1
5256,0
1476,0
8645,0
5263,1
7509,0
5078,0
1695,1
8305,1
146,1
5967,0
7561,0
7976,0
8279,0
6708,0
2687,1
3473,1
5420,0
979,1
1967,1
8446,0
7959,0
9465,0
6665,0
1257,1
1343,1
9135,0
3341,1
7206,0
9470,1
3254,1
4967,1
481,1
2861,1
5489,0
8386,0
6626,0
7594,0
5668,0
1354,0
4507,1
5128,0
4253,1
1261,1
7287,0
1785,1
2096,1
5854,0
7798,0
6758,0
8449,0
5951,0
8060,0
6479,0
4865,1
9489,0
5254,0
7839,0
7083,0
9518,0
4761,1
9299,0
8466,0
4014,1
1762,1
5981,0
7932,0
5992,0
9189,0
1894,1
1602,1
8736,0
1749,0
4920,1
7301,0
6983,0
7734,0
6982,0
8477,0
3963,1
718,1
3213,1
1450,1
9250,0
2579,1
8070,0
5824,0
6858,0
8914,0
8368,0
3635,1
4814,1
7815,0
8038,0
9837,0
6517,0
9807,0
6977,0
8125,0
8006,1
3933,1
3415,1
1265,1
2331,1
5575,0
7295,0
8223,0
1358,0
1410,1
6319,0
5710,0
8349,0
1637,1
1016,1
6389,0
6854,0
8093,0
9854,0
2774,1
2852,1
3218,0
5662,0
6168,0
4160,1
7392,0
927,1
1962,1
1645,1
6864,0
7042,0
4320,1
2538,1
4131,1
8798,1
2171,1
6647,0
1855,1
8523,0
323,0
2495,1
5976,0
2677,1
4240,1
7263,1
9935,0
8499,0
3619,1
8315,0
2757,1
6853,0
6255,0
7071,0
5413,0
2431,1
6385,0
9565,0
8147,0
4179,1
5667,0
4200,1
3623,1
733,1
5468,0
8573,1
6735,1
6605,0
45,1
2446,0
9743,0
5511,0
9147,1
7117,0
5815,0
608,1
4031,1
7626,0
8392,0
7783,0
2619,1
1879,1
4086,1
6315,0
9118,0
3142,0
7746,0
4751,1
3407,1
8010,0
6649,0
5993,0
3900,1
6022,0
4216,1
4358,1
5342,0
1080,0
3983,1
4501,1
7778,0
493,1
5831,0
1802,1
4906,1
8678,1
7364,0
7730,0
3323,1
1236,1
808,1
4464,0
4486,1
8268,0
7056,0
1882,1
1017,1
5067,0
1582,0
8710,0
5203,0
913,1
844,1
8284,0
5674,0
8515,0
9517,0
7066,0
1588,1
3867,1
6151,0
6297,0
4283,1
5346,0
2748,1
4102,1
1187,0
7569,0
7951,0
537,1
4389,1
3807,1
7279,0
263,1
3219,1
4803,0
7080,0
6301,0
862,1
2241,1
6083,0
5714,0
4491,1
4859,0
5138,0
5099,0
9098,0
6292,0
1052,1
6896,0
5877,0
9001,0
9737,0
6218,0
2582,1
9568,0
7661,0
2444,1
2951,1
5127,0
9780,0
5929,0
5664,0
9286,0
3848,1
999,1
5467,0
1270,1
2342,0
5563,0
1090,1
2081,1
8513,0
58,1
6571,0
4870,1
9912,1
1687,0
6061,1
1479,1
4349,1
7001,0
9371,1
590,1
5148,0
4782,1
3581,1
9365,0
9157,1
127,0
5754,0
4087,1
2714,1
6998,1
3855,1
5826,0
8878,0
1249,1
9559,0
2939,1
340,1
7503,0
6384,0
2038,1
4671,1
8877,0
1074,1
6494,0
5920,0
4766,1
3559,1
678,1
4545,1
6754,0
9515,0
9683,0
1707,1
7617,1
3515,1
4955,0
6586,0
8447,1
6723,0
5939,0
3905,1
5405,0
3215,1
6991,0
923,1
9168,0
8747,0
1424,1
921,1
241,1
2650,1
4142,1
3926,1
9601,0
7152,0
5972,0
2723,1
2576,1
3481,1
7696,0
2075,1
8507,1
9433,0
9209,0
926,1
5699,0
9068,0
8105,0
7957,0
7775,0
1828,1
155,1
9660,0
6121,0
6325,0
6582,0
4966,1
747,0
6760,0
2526,1
5035,0
732,1
818,0
8778,0
5120,0
3962,1
5242,0
9995,0
5538,0
8601,0
6817,0
8508,0
9165,0
699,1
8885,1
5065,0
4324,1
6995,0
3925,0
6829,0
6606,0
8068,0
6880,0
4557,0
3897,1
9342,0
8237,0
9556,0
6969,0
6640,0
3360,1
5847,0
5646,0
4043,1
7398,0
4764,1
7709,1
9808,0
6528,0
4553,1
6249,0
902,1
2598,1
9022,0
4625,1
5250,0
4267,0
6686,0
4017,1
4417,1
8954,0
7757,0
8458,1
5717,0
1542,1
8628,0
5191,1
3365,1
9301,0
6257,0
692,1
4710,1
9537,0
4199,1
5794,0
7704,0
3624,1
288,1
8901,0
1029,1
9939,1
2896,1
431,1
2671,1
8328,0
7740,0
6496,0
8578,0
3267,1
4248,1
9656,1
8178,0
8841,0
6157,0
5960,1
5861,0
9566,1
1984,1
6970,0
2012,1
4476,1
8294,0
8953,0
1709,1
4387,1
8503,0
9724,0
8184,0
7731,0
916,1
7126,0
9951,0
2124,1
9103,0
1451,1
5190,0
8744,1
7833,0
9544,0
3342,1
8032,0
1773,1
2995,1
7899,0
1232,1
8058,0
2777,1
9418,0
9870,0
4080,1
4432,1
366,1
9030,0
4562,1
3787,1
2512,1
3627,1
8346,0
8061,0
3794,1
641,1
1875,1
4460,0
3385,1
2800,1
1306,1
5816,0
444,1
9659,1
185,1
3978,1
3987,1
9637,0
1308,1
6108,0
883,1
7929,0
2210,1
4917,1
3011,1
2052,1
1376,1
6680,0
3125,1
5985,0
5006,0
6119,0
9427,1
4480,1
1646,1
4723,1
5226,0
2709,1
1452,1
2082,1
8450,0
7840,0
285,1
507,1
1820,0
9219,0
8637,0
3290,1
3403,1
6688,0
9584,0
244,1
8243,0
6828,0
8531,1
8375,0
8963,0
9986,1
4936,1
3957,1
7905,0
8395,0
4172,1
8370,1
7725,0
4802,1
2207,1
3576,0
424,0
1883,1
4987,1
7525,1
6907,0
897,1
7735,0
3820,1
4905,1
7386,1
4754,1
8343,0
6931,0
4592,1
9860,0
2159,1
8738,0
7048,0
2889,1
3359,0
9466,1
7512,0
4060,1
1107,1
8213,0
5647,0
8598,0
35,1
8369,0
8422,1
1736,1
8982,0
3037,1
1765,1
6987,0
9570,0
7483,0
16,1
3734,1
7394,0
986,1
7082,0
91,1
4351,1
5852,0
2867,1
6082,0
2811,1
1263,1
1125,1
942,1
2750,1
5849,0
2411,1
5570,0
9176,1
710,1
4079,1
814,1
3893,1
6604,0
9819,0
6185,0
4107,1
7327,0
7436,0
6795,0
1274,1
9179,0
7505,0
2781,1
2060,0
3157,1
7050,0
9587,0
7244,0
5700,1
5201,0
4471,1
4129,1
9666,0
3951,0
852,1
9091,0
7774,0
6063,0
7559,0
5660,0
7538,1
2554,1
1357,1
9486,1
1936,1
2654,1
4510,0
1465,1
8702,0
9876,0
1486,1
7817,0
601,0
4757,1
166,1
3347,1
299,1
1628,1
1302,1
7694,0
3965,1
1777,1
9200,0
5478,0
5957,0
192,1
7566,1
5126,0
1610,1
6532,0
7061,0
8109,0
9062,1
3871,1
2054,1
6842,0
2351,1
9487,0
6637,0
4643,1
9736,0
4139,1
9143,0
6087,0
224,1
7157,0
5503,0
6574,0
4309,1
5396,0
9144,1
8421,0
8433,0
278,1
4949,1
367,1
7557,0
4251,1
6985,0
7225,0
4579,1
8057,0
5607,0
8344,0
9269,1
4161,1
2301,1
2854,1
3176,1
1726,0
8256,0
5194,0
7902,0
3804,1
6354,0
1078,1
8496,0
7714,0
5118,0
2399,1
7027,0
220,1
1385,1
9669,1
502,1
5286,0
9954,0
8111,1
7161,0
9187,0
6807,0
6349,0
9892,0
8088,0
5207,0
453,1
9331,0
2553,1
6029,0
2938,1
8770,0
7540,0
2932,0
758,1
7547,0
4217,1
8697,0
8357,1
4118,1
1973,0
1030,1
9844,0
4533,1
2807,1
8714,1
7445,0
5363,0
7205,0
5770,0
2395,1
5025,0
7333,1
6716,0
6835,0
2706,1
3682,1
9913,1
5729,0
791,1
8764,1
8970,0
9799,0
8000,0
9132,0
7480,0
29,1
442,0
9107,0
2254,1
4236,1
559,1
9395,1
5117,0
6192,0
9139,0
5144,0
5855,0
6330,0
9125,1
8851,0
5198,0
7609,0
7960,0
3815,1
4525,0
8441,1
2985,1
5376,0
1699,1
1405,1
9108,0
7889,0
9493,0
6359,0
6203,0
7614,0
3302,1
9497,0
1715,1
1515,0
269,1
7825,0
1885,1
4034,0
4245,1
5672,0
9785,1
2926,1
8944,0
7455,0
9390,0
9494,0
8731,1
3122,1
271,1
7201,0
8282,0
4502,1
6461,0
3495,1
8824,0
1653,1
7372,0
9277,0
1961,1
8252,0
9368,0
1399,1
4983,1
8325,0
4829,1
8331,1
9414,0
3010,0
6485,0
7748,0
9536,1
6077,0
9796,1
9367,0
1271,1
6971,0
850,1
6313,0
8052,0
5456,0
8745,0
6149,0
5134,0
6066,0
5609,1
9928,0
8597,0
978,1
6123,0
3885,1
9345,1
491,0
7153,0
9015,0
2505,0
5871,1
3553,1
5954,1
7897,0
3114,0
9613,0
3000,1
4259,1
6215,0
3561,1
250,1
2039,1
8585,0
6569,0
5902,0
2765,1
4804,1
7564,0
8582,0
5937,0
7871,0
4127,1
7892,0
4297,1
4568,1
8580,0
4244,1
7238,1
4354,1
1398,1
7040,0
5996,0
6064,0
7444,0
5564,0
7739,1
5115,0
2581,1
5676,0
1095,1
5636,0
2419,1
6976,0
7745,0
7862,0
2972,1
2477,1
1527,1
4463,1
9961,0
4539,1
8875,0
5955,0
7363,0
8673,0
7968,0
4058,1
1772,0
7710,0
3673,1
4878,1
8374,1
7713,0
771,1
7675,0
6268,0
6824,0
8176,0
9904,1
2173,1
8534,0
6762,0
6364,0
6397,0
5004,0
1050,0
2396,1
184,1
4786,1
3940,1
5161,0
7181,0
8326,1
2779,1
1626,1
7428,0
1217,1
2231,1
5429,0
5327,0
7591,1
2157,1
9580,0
6855,1
153,0
7552,0
6283,0
8091,0
658,1
7702,0
2069,0
7193,0
5386,0
5303,0
2365,0
1226,1
257,1
4795,1
2259,1
8142,0
506,1
8491,0
2392,1
6070,0
8799,0
7977,0
6960,0
4585,1
7350,0
3986,1
9434,0
2822,1
6541,0
7486,0
9019,1
9356,0
554,1
9522,0
9619,1
6598,0
2346,1
4904,0
8462,0
4780,1
90,1
8749,0
4235,1
1943,1
6148,0
5385,0
2529,1
730,1
887,1
5155,0
239,1
2186,1
2950,1
8031,0
3591,1
6634,0
930,1
5785,0
3630,1
4642,1
1768,1
9161,0
9171,0
172,1
8158,0
6793,0
9172,0
4156,1
1371,0
6046,0
7636,0
7850,0
3718,1
2882,1
9124,1
7204,0
2045,1
9824,0
2020,1
4836,1
2640,1
5380,0
7106,0
4924,1
4232,1
6811,0
4040,1
6529,0
9430,0
785,1
5358,0
8646,0
1613,1
932,1
1913,1
585,1
1665,1
8055,0
599,1
8355,0
4745,1
4567,1
2314,1
