id,numdots,subdomainlevel,pathlevel,urllength,numdash,numdashinhostname,atsymbol,tildesymbol,numunderscore,numpercent,numquerycomponents,numampersand,numhash,numnumericchars,nohttps,randomstring,ipaddress,domaininsubdomains,domaininpaths,httpsinhostname,hostnamelength,pathlength,querylength,doubleslashinpath,numsensitivewords,embeddedbrandname,pctexthyperlinks,pctextresourceurls,extfavicon,insecureforms,relativeformaction,extformaction,abnormalformaction,pctnullselfredirecthyperlinks,frequentdomainnamemismatch,fakelinkinstatusbar,rightclickdisabled,class_label
7859,2,1,3,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,31,62,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
1843,1,0,5,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,32,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2685,2,0,7,74,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6565,1,0,2,87,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,16,64,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
6228,2,0,1,85,0,1,0,0,0,0,5,4,0,0,1,1,0,0,0,0,17,20,40,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
7108,1,0,3,73,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,18,48,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
5589,2,1,18,139,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,24,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8527,2,0,6,54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,10,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1153,2,0,2,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8898,1,0,2,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
