id,domaininpaths,querylength,rightclickdisabled,domaininsubdomains,extfavicon,nohttps,hostnamelength,numunderscore,fakelinkinstatusbar,doubleslashinpath,pctextresourceurls,atsymbol,class_label,numnumericchars,relativeformaction,ipaddress,tildesymbol,numhash,httpsinhostname,subdomainlevel,pathlevel,randomstring,numdashinhostname,numpercent,abnormalformaction,embeddedbrandname,numdash,numampersand,numquerycomponents,insecureforms,urllength,pctnullselfredirecthyperlinks,numdots,frequentdomainnamemismatch,numsensitivewords,pathlength,extformaction,pctexthyperlinks
11,1.0,0.0,0.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0
13,1.0,0.0,0.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0
20,1.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,0.0,5.0,0.0,0.0,20.0,0.0,0.0
24,1.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,105.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,105.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0
26,1.0,56.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,0.0,5.0,0.0,0.0,17.0,0.0,0.0
30,1.0,56.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134.0,0.0,5.0,0.0,1.0,56.0,0.0,0.0
32,0.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0
