id,numdots,subdomainlevel,pathlevel,urllength,numdash,numdashinhostname,atsymbol,tildesymbol,numunderscore,numpercent,numquerycomponents,numampersand,numhash,numnumericchars,nohttps,randomstring,ipaddress,domaininsubdomains,domaininpaths,httpsinhostname,hostnamelength,pathlength,querylength,doubleslashinpath,numsensitivewords,embeddedbrandname,pctexthyperlinks,pctextresourceurls,extfavicon,insecureforms,relativeformaction,extformaction,abnormalformaction,pctnullselfredirecthyperlinks,frequentdomainnamemismatch,fakelinkinstatusbar,rightclickdisabled,class_label
7368,1,0,3,116,0,0,0,0,3,0,3,2,0,0,1,0,0,0,0,0,21,24,63,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3881,4,1,2,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,18,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
5393,2,0,2,108,0,0,0,0,2,0,3,2,0,0,1,0,0,0,1,0,12,15,73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1401,3,1,2,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4925,2,1,3,42,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4120,3,1,2,51,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,17,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5740,2,0,1,88,0,0,0,0,1,0,5,4,0,0,1,0,0,0,0,0,9,10,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5780,4,2,2,70,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,24,19,19,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
4239,3,1,7,115,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,94,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
202,4,1,7,83,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,18,58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5031,3,1,2,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,19,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5199,3,1,3,60,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,12,41,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1044,4,2,1,41,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
