id,httpsinhostname,subdomainlevel,numpercent,pctextresourceurls,querylength,insecureforms,embeddedbrandname,numhash,ipaddress,pathlevel,numnumericchars,pctnullselfredirecthyperlinks,numquerycomponents,tildesymbol,numdashinhostname,numunderscore,numampersand,fakelinkinstatusbar,atsymbol,extfavicon,domaininpaths,rightclickdisabled,randomstring,numdash,numdots,urllength,abnormalformaction,relativeformaction,hostnamelength,domaininsubdomains,numsensitivewords,frequentdomainnamemismatch,pathlength,nohttps,doubleslashinpath,extformaction,pctexthyperlinks,class_label,abnormalextformactionr,extmetascriptlinkrt,iframeorframe,imagesonlyinform,missingtitle,pctextnullselfredirecthyperlinksrt,pctextresourceurlsrt,popupwindow,subdomainlevelrt,submitinfotoemail,urllengthrt
5713,0.0,0.0,0.0,0.99115,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,1.0,90.0,0.0,0.0,17.0,0.0,0.0,0.0,66.0,1.0,0.0,0.0,0.386667,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,-1.0
5713,0.0,0.0,0.0,0.99115,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,1.0,90.0,0.0,0.0,17.0,0.0,0.0,0.0,66.0,1.0,0.0,0.0,0.386667,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,-1.0
2370,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,1.0,17.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,1.0
7162,0.0,0.0,0.0,0.691176,5.0,1.0,0.0,0.0,0.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,2.0,147.0,0.0,0.0,8.0,0.0,0.0,0.0,126.0,1.0,0.0,0.0,0.332143,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0
3025,0.0,1.0,0.0,0.083333,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,0.0,0.0,17.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
1813,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,64.0,0.0,0.0,19.0,0.0,0.0,0.0,38.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
7140,0.0,0.0,0.0,0.240741,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.060403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,2.0,143.0,0.0,0.0,14.0,0.0,0.0,0.0,122.0,1.0,0.0,0.0,0.013423,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0
1290,0.0,0.0,0.0,0.785714,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43.0,0.0,0.0,23.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,1.0
798,0.0,1.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,94.0,0.0,1.0,18.0,0.0,0.0,0.0,69.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0
5939,0.0,0.0,0.0,0.837838,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,65.0,0.0,0.0,18.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,0.261905,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0
