date,store_nbr,customers
01-01-2013,25,770
02-01-2013,1,2111
02-01-2013,2,2358
02-01-2013,3,3487
02-01-2013,4,1922
02-01-2013,5,1903
02-01-2013,6,2143
02-01-2013,7,1874
02-01-2013,8,3250
02-01-2013,9,2940
02-01-2013,10,1293
02-01-2013,11,3547
02-01-2013,12,1362
02-01-2013,13,1102
02-01-2013,14,2002
02-01-2013,15,1622
02-01-2013,16,1167
02-01-2013,17,1580
02-01-2013,18,1635
02-01-2013,19,1369
02-01-2013,23,1381
02-01-2013,24,2605
02-01-2013,25,1038
02-01-2013,26,1008
02-01-2013,27,1386
02-01-2013,28,950
02-01-2013,30,708
02-01-2013,31,1401
02-01-2013,32,776
02-01-2013,33,1163
02-01-2013,34,2724
02-01-2013,35,786
02-01-2013,37,1691
02-01-2013,38,1987
02-01-2013,39,1587
02-01-2013,40,1178
02-01-2013,41,915
02-01-2013,43,1385
02-01-2013,44,4821
02-01-2013,45,4208
02-01-2013,46,4886
02-01-2013,47,4161
02-01-2013,48,3397
02-01-2013,49,2346
02-01-2013,50,3077
02-01-2013,51,1985
02-01-2013,54,998
03-01-2013,1,1833
03-01-2013,2,2033
03-01-2013,3,3026
03-01-2013,4,1551
03-01-2013,5,1740
03-01-2013,6,1795
03-01-2013,7,1568
03-01-2013,8,2904
03-01-2013,9,2396
03-01-2013,10,1157
03-01-2013,11,2675
03-01-2013,12,1248
03-01-2013,13,916
03-01-2013,14,1823
03-01-2013,15,1512
03-01-2013,16,1101
03-01-2013,17,1339
03-01-2013,18,1484
03-01-2013,19,1098
03-01-2013,23,1181
03-01-2013,24,2462
03-01-2013,25,887
03-01-2013,26,813
03-01-2013,27,928
03-01-2013,28,749
03-01-2013,30,689
03-01-2013,31,1126
03-01-2013,32,727
03-01-2013,33,1168
03-01-2013,34,2348
03-01-2013,35,725
03-01-2013,37,1526
03-01-2013,38,1746
03-01-2013,39,1426
03-01-2013,40,1171
03-01-2013,41,809
03-01-2013,43,1334
03-01-2013,44,3618
03-01-2013,45,3314
03-01-2013,46,3438
03-01-2013,47,3660
03-01-2013,48,2887
03-01-2013,49,1702
03-01-2013,50,2307
03-01-2013,51,1644
03-01-2013,54,920
04-01-2013,1,1863
04-01-2013,2,2066
04-01-2013,3,3188
04-01-2013,4,1596
04-01-2013,5,1642
04-01-2013,6,1679
04-01-2013,7,1513
04-01-2013,8,2962
04-01-2013,9,1975
04-01-2013,10,970
04-01-2013,11,2515
04-01-2013,12,1064
04-01-2013,13,879
04-01-2013,14,1641
