date,ws
2010-01-01 00:00:00,2.33
2010-01-01 01:00:00,2.44
2010-01-01 02:00:00,2.49
2010-01-01 03:00:00,2.54
2010-01-01 04:00:00,2.62
2010-01-01 05:00:00,2.69
2010-01-01 06:00:00,2.71
2010-01-01 07:00:00,2.64
2010-01-01 08:00:00,2.59
2010-01-01 09:00:00,2.7
2010-01-01 10:00:00,3.05
2010-01-01 11:00:00,3.51
2010-01-01 12:00:00,3.92
2010-01-01 13:00:00,4.15
2010-01-01 14:00:00,4.29
2010-01-01 15:00:00,4.48
2010-01-01 16:00:00,4.78
2010-01-01 17:00:00,5.08
2010-01-01 18:00:00,5.21
2010-01-01 19:00:00,5.11
2010-01-01 20:00:00,5.0
2010-01-01 21:00:00,5.09
2010-01-01 22:00:00,5.4
2010-01-01 23:00:00,5.77
2010-01-02 00:00:00,6.04
2010-01-02 01:00:00,5.84
2010-01-02 02:00:00,6.08
2010-01-02 03:00:00,6.29
2010-01-02 04:00:00,6.33
2010-01-02 05:00:00,6.28
2010-01-02 06:00:00,6.25
2010-01-02 07:00:00,6.32
2010-01-02 08:00:00,6.43
2010-01-02 09:00:00,6.48
2010-01-02 10:00:00,6.43
2010-01-02 11:00:00,6.41
2010-01-02 12:00:00,6.58
2010-01-02 13:00:00,7.08
2010-01-02 14:00:00,7.79
2010-01-02 15:00:00,8.5
2010-01-02 16:00:00,8.98
2010-01-02 17:00:00,9.12
2010-01-02 18:00:00,8.72
2010-01-02 19:00:00,7.7
2010-01-02 20:00:00,6.4
2010-01-02 21:00:00,5.27
2010-01-02 22:00:00,4.69
2010-01-02 23:00:00,4.52
2010-01-03 00:00:00,4.48
2010-01-03 01:00:00,4.34
2010-01-03 02:00:00,4.28
2010-01-03 03:00:00,4.35
2010-01-03 04:00:00,4.52
2010-01-03 05:00:00,4.75
2010-01-03 06:00:00,4.97
2010-01-03 07:00:00,5.13
2010-01-03 08:00:00,5.24
2010-01-03 09:00:00,5.34
2010-01-03 10:00:00,5.47
2010-01-03 11:00:00,5.71
2010-01-03 12:00:00,6.15
2010-01-03 13:00:00,6.85
2010-01-03 14:00:00,7.67
2010-01-03 15:00:00,8.44
2010-01-03 16:00:00,9.01
2010-01-03 17:00:00,9.26
2010-01-03 18:00:00,9.1
2010-01-03 19:00:00,8.51
2010-01-03 20:00:00,7.72
2010-01-03 21:00:00,7.04
2010-01-03 22:00:00,6.69
2010-01-03 23:00:00,6.58
2010-01-04 00:00:00,6.52
2010-01-04 01:00:00,6.28
2010-01-04 02:00:00,6.15
2010-01-04 03:00:00,5.98
2010-01-04 04:00:00,5.73
2010-01-04 05:00:00,5.42
2010-01-04 06:00:00,5.07
2010-01-04 07:00:00,4.71
2010-01-04 08:00:00,4.37
2010-01-04 09:00:00,4.04
2010-01-04 10:00:00,3.77
2010-01-04 11:00:00,3.66
2010-01-04 12:00:00,3.81
2010-01-04 13:00:00,4.3
2010-01-04 14:00:00,4.97
2010-01-04 15:00:00,5.61
2010-01-04 16:00:00,6.05
2010-01-04 17:00:00,6.23
2010-01-04 18:00:00,6.1
2010-01-04 19:00:00,5.67
2010-01-04 20:00:00,5.09
2010-01-04 21:00:00,4.56
2010-01-04 22:00:00,4.25
2010-01-04 23:00:00,4.12
2010-01-05 00:00:00,4.08
2010-01-05 01:00:00,3.8
2010-01-05 02:00:00,3.95
2010-01-05 03:00:00,3.96
2010-01-05 04:00:00,3.72
2010-01-05 05:00:00,3.36
2010-01-05 06:00:00,3.07
2010-01-05 07:00:00,3.01
2010-01-05 08:00:00,3.06
2010-01-05 09:00:00,3.06
2010-01-05 10:00:00,2.93
2010-01-05 11:00:00,2.89
2010-01-05 12:00:00,3.24
2010-01-05 13:00:00,4.17
2010-01-05 14:00:00,5.37
2010-01-05 15:00:00,6.43
2010-01-05 16:00:00,7.01
2010-01-05 17:00:00,7.12
2010-01-05 18:00:00,6.85
2010-01-05 19:00:00,6.3
2010-01-05 20:00:00,5.64
2010-01-05 21:00:00,5.1
2010-01-05 22:00:00,4.86
2010-01-05 23:00:00,4.83
2010-01-06 00:00:00,4.87
2010-01-06 01:00:00,4.39
2010-01-06 02:00:00,4.4
2010-01-06 03:00:00,4.27
2010-01-06 04:00:00,3.95
2010-01-06 05:00:00,3.58
2010-01-06 06:00:00,3.28
2010-01-06 07:00:00,3.16
2010-01-06 08:00:00,3.15
2010-01-06 09:00:00,3.14
2010-01-06 10:00:00,3.06
2010-01-06 11:00:00,3.02
2010-01-06 12:00:00,3.17
2010-01-06 13:00:00,3.6
2010-01-06 14:00:00,4.21
2010-01-06 15:00:00,4.83
2010-01-06 16:00:00,5.3
2010-01-06 17:00:00,5.5
2010-01-06 18:00:00,5.3
2010-01-06 19:00:00,4.64
2010-01-06 20:00:00,3.78
2010-01-06 21:00:00,3.08
2010-01-06 22:00:00,2.78
2010-01-06 23:00:00,2.78
2010-01-07 00:00:00,2.9
2010-01-07 01:00:00,2.87
2010-01-07 02:00:00,2.78
2010-01-07 03:00:00,2.72
2010-01-07 04:00:00,2.7
2010-01-07 05:00:00,2.72
2010-01-07 06:00:00,2.8
2010-01-07 07:00:00,2.9
2010-01-07 08:00:00,2.95
2010-01-07 09:00:00,2.88
2010-01-07 10:00:00,2.67
2010-01-07 11:00:00,2.47
2010-01-07 12:00:00,2.47
2010-01-07 13:00:00,2.73
2010-01-07 14:00:00,3.07
2010-01-07 15:00:00,3.24
2010-01-07 16:00:00,3.06
2010-01-07 17:00:00,2.64
2010-01-07 18:00:00,2.1
2010-01-07 19:00:00,1.6
2010-01-07 20:00:00,1.27
2010-01-07 21:00:00,1.22
2010-01-07 22:00:00,1.52
2010-01-07 23:00:00,2.01
2010-01-08 00:00:00,2.46
2010-01-08 01:00:00,2.43
2010-01-08 02:00:00,2.62
2010-01-08 03:00:00,2.92
2010-01-08 04:00:00,3.31
2010-01-08 05:00:00,3.74
2010-01-08 06:00:00,4.17
2010-01-08 07:00:00,4.54
2010-01-08 08:00:00,4.79
2010-01-08 09:00:00,4.87
2010-01-08 10:00:00,4.77
2010-01-08 11:00:00,4.68
2010-01-08 12:00:00,4.86
2010-01-08 13:00:00,5.47
2010-01-08 14:00:00,6.25
2010-01-08 15:00:00,6.9
2010-01-08 16:00:00,7.19
2010-01-08 17:00:00,7.22
2010-01-08 18:00:00,7.07
2010-01-08 19:00:00,6.74
2010-01-08 20:00:00,6.27
2010-01-08 21:00:00,5.74
2010-01-08 22:00:00,5.25
2010-01-08 23:00:00,4.82
2010-01-09 00:00:00,4.5
2010-01-09 01:00:00,4.18
2010-01-09 02:00:00,3.93
2010-01-09 03:00:00,3.78
2010-01-09 04:00:00,3.63
2010-01-09 05:00:00,3.47
2010-01-09 06:00:00,3.33
2010-01-09 07:00:00,3.24
2010-01-09 08:00:00,3.19
2010-01-09 09:00:00,3.15
2010-01-09 10:00:00,3.1
2010-01-09 11:00:00,3.11
2010-01-09 12:00:00,3.23
