ISBN,Genre
0195153448,Social Science
0002005018,Actresses
0060973129,1940-1949
0374157065,Medical
0393045218,Design
0399135782,Fiction
0425176428,History
0679425608,Fiction
074322678X,Fiction
0771074670,Fiction
080652121X,History
1575663937,Nature
1881320189,Fiction
0440234743,Fiction
0452264464,Fiction
0609804618,Humor
1841721522,Cooking
1879384493,Reference
0061076031,Juvenile Fiction
0439095026,Juvenile Fiction
0689821166,Juvenile Fiction
0971880107,Fiction
0345402871,Fiction
0345417623,Fiction
0684823802,Fiction
0375759778,Fiction
0425163091,Fiction
3404921038,
3442353866,
0375406328,Fiction
0446310786,Fiction
0449005615,Horse racing
0060168013,Fiction
038078243X,Fiction
067176537X,Health & Fitness
0061099686,Fiction
0671888587,Fiction
0553582747,Fiction
0425182908,Fiction
0440223571,Fiction
0812523873,Fiction
0842342702,FICTION
0440225701,Fiction
0060914068,Control (Psychology)
0380715899,Fiction
0553280333,Biological sciences
0961769947,
0964778319,Fiction
0671623249,Cattle drives
0679810307,Cholistan Desert (Pakistan)
0679865691,Juvenile Fiction
2070423204,Fiction
0345260317,Science
0804106304,Fiction
1853262404,Fiction
0312970242,Fiction
1853260053,Fiction
0060938412,Fiction
0140067477,Humor
0345465083,History
0451625889,Political ethics
1558531025,Conduct of life
0441783589,Fiction
0394895894,Juvenile Fiction
1569871213,Horses
0375410538,Fiction
0966986105,Fiction
0060930365,Biography & Autobiography
0060177586,Biography & Autobiography
0071416331,Business & Economics
0375509038,Political Science
0553062042,Brothers
0316769487,Fiction
8445071408,"Baggins, Frodo (Fictitious character)"
8445071777,"Baggins, Frodo (Fictitious character)"
0679429220,History
0671867156,Fiction
0312252617,Fiction
0316748641,Biography & Autobiography
0316973742,Fiction
0446677450,Business & Economics
0451166892,Fiction
0553347594,Business & Economics
0671621009,Business & Economics
0684822733,Technology & Engineering
0786868716,Fiction
8472238822,Fiction
0671864769,Fiction
0671521519,Fiction
0440222303,Fiction
0312953453,Fiction
0446608653,Fiction
0451208080,Fiction
0553584383,Fiction
0671027360,Fiction
0812575954,Fiction
0316735736,Fiction
0345372700,Humor
0380619458,Americans
0451406923,Infanticide
0671042858,Fiction
0743249992,Biography & Autobiography
0840734530,Fiction
0425184226,Fiction
0375500766,Biography & Autobiography
0060929790,Fiction
0060976845,Fiction
0061099325,Fiction
0671004573,Fiction
0446601640,Fiction
038572179X,Fiction
0393020371,Business & Economics
1900850303,Cabala
1903019699,Fiction
0345425294,Fiction
0451410319,Fiction
0553583468,Fiction
8420639133,
8476409419,Literary Criticism
0380778556,Fiction
0002740230,Self-Help
0385336772,Fiction
0440949424,Juvenile Fiction
0505524996,Fiction
0812575482,Fiction
044651747X,Fiction
0061030147,Biography & Autobiography
0385337639,FICTION
0671047612,Juvenile Fiction
3257212054,
3426605686,
3499151502,
3518111000,"Bloom, Leopold (Fictitious character)"
3596292646,
0060977493,Fiction
0345311396,Fiction
0345378490,Fiction
0345404793,Fiction
0375400117,Fiction
0380717018,Fiction
0380718332,Fiction
0380754509,Detective and mystery stories
0380807866,Fiction
0385316895,Fiction
0385508042,Fiction
0385511612,Fiction
0440234964,Fiction
0449006522,Fiction
0449911004,Fiction
0451162072,Fiction
0451186648,Fiction
0452282152,Fiction
051513290X,Fiction
0553580388,Fiction
0590598848,Gargoyles (Fictitious characters)
0590629719,Juvenile Fiction
0671027387,FICTION
0684848783,Biography & Autobiography
0786863986,Biography & Autobiography
0803251718,
0804117934,Fiction
155874262X,Self-Help
0060987103,Fiction
0151008116,Fiction
0375704965,Fiction
0804111359,Fiction
1558744150,Self-Help
0435272683,England
006102063X,Fiction
0060013117,Fiction
0060199563,Fiction
006052779X,Juvenile Fiction
0061040967,Fiction
0061050474,Fiction
0061052515,Fiction
0061052523,Fiction
0064472264,Juvenile Fiction
0312148267,Juvenile Fiction
0312156960,Fiction
0312890044,Fiction
034543191X,Fiction
0373836023,Fiction
0375751513,Fiction
0375801677,Juvenile Fiction
037582345X,Juvenile Fiction
0375823468,Juvenile Fiction
0380730448,Fiction
0380973839,Fiction
0385327773,Juvenile Fiction
0439510112,Juvenile Fiction
0440241413,Fiction
0451409256,Fiction
0451523415,Juvenile Fiction
0451526279,Fiction
0451526341,Fiction
0486415864,Fiction
0571197639,Americans
0670035262,Juvenile Fiction
0679423079,Fiction
0679751343,Fiction
0684833395,
0749748028,"""Childrens stories"""
0963094424,Fiction
1401201172,"Comic books, strips, etc"
1563892278,Comics & Graphic Novels
1563898586,Comics & Graphic Novels
156971620X,Comics & Graphic Novels
1592571301,Language Arts & Disciplines
0374270325,Fiction
0375719180,Fiction
044023722X,Fiction
1573225487,Fiction
0060977477,Biography & Autobiography
0345391691,Religion
0520011171,Greek poetry
0553278746,Fiction
0670856045,Fiction
0872200760,Philosophy
0937858994,Juvenile Nonfiction
0671649949,Gay men
0064470113,Family problems
0553571486,Juvenile Nonfiction
0972044205,History
0312963009,Fiction
0345430476,Fiction
0345435869,Fiction
0380728729,Biography & Autobiography
038081840X,Fiction
0449912302,Computers
055329198X,Fiction
0671018930,Fiction
0812541642,Fiction
0486282112,Fiction
8483007010,Fiction
0684193957,Fiction
0345371984,Nature
0380730138,Fiction
1573228737,Fiction
0380711109,American literature
0452283914,Political Science
0425120279,Fiction
067153484X,Fiction
0380728273,Fiction
8433914545,Fiction
0771076002,Biography & Autobiography
0771088191,
1559703237,Fiction
0062770500,
0060188731,Fiction
0140374248,Juvenile Fiction
0142001740,Fiction
0195086295,Popular music
0312995423,Fiction
0380704587,Fiction
0380815923,Fiction
038542471X,Fiction
0425098109,Fiction
0449005410,Fiction
0449207544,Fiction
0515128554,Fiction
0517577402,Fiction
0590450875,Juvenile Nonfiction
067103619X,Fiction
0743470389,Fiction
076218857X,
0801096677,Religion
0849953014,Religion
0915811537,Psychology
0927545373,Religion
1575024179,
0140345809,Juvenile Fiction
0451154916,
0785815147,"Body, Mind & Spirit"
156718796X,"Body, Mind & Spirit"
0373196989,Fiction
0373245580,Fiction
0451527747,Fiction
0671867113,Fiction
0812504208,Fiction
0060973897,Social Science
006101351X,Nature
0140104682,History
0316666343,Fiction
0440224675,Fiction
0452279690,Fiction
0553569058,Fiction
0802114369,Biography & Autobiography
0803233019,Biography & Autobiography
0940322978,Fiction
1878424319,Self-Help
8440616252,
8472224260,
8475960936,
8478800336,Women
8483002523,
0600586898,
1857938011,
0060804157,Arthurian romances
8466601090,Fiction
0140382658,Juvenile Nonfiction
0152012966,Juvenile Fiction
0312283784,Fiction
0345297709,American fiction
0345313097,Fantasy fiction
0385333404,Fiction
044021145X,Fiction
0449212084,Fiction
0553582682,Curiosities and wonders
0590947257,Juvenile Fiction
074345829X,Fiction
0786913878,Fiction
0816729913,Families
0843136685,Humor
0866119531,Animal welfare
0866119566,Criminals
0870441663,Assateague Island (Md. and Va.)
0553210092,Adulteresses
0688163726,Juvenile Fiction
1569471096,Fiction
055358099X,Fiction
0316168815,Fiction
014023828X,Fiction
0316314927,Fiction
0375414746,Fiction
0425156842,Fiction
0440226104,Fiction
0452277337,Fiction
0553802488,Fiction
0671021001,Fiction
0767903579,Biography & Autobiography
0553285343,Fiction
0486285529,Games
0671002481,Fiction
0812523385,Fiction
0895774666,Art
0679733825,American literature
0842329129,FICTION
0740700235,Self-Help
0380973545,Humor
0393321576,Biography & Autobiography
0743424425,Fiction
0786868015,Fiction
0446610178,Fiction
0743229878,Fiction
0380617625,History
0380732335,Fiction
0871138646,Fiction
0026329859,Cooking
0060621257,Religion
0060915544,Fiction
0060925000,Fiction
0061000280,Fiction
0312195516,Fiction
0380792664,Fiction
0393048977,Poetry
0399137807,Fiction
039914739X,Fiction
0451203046,Family & Relationships
0451523318,
0486281965,Fiction
0684824442,Fiction
081296666X,Fiction
0819215635,Religion
0880011025,Poetry
1561011525,Religion
1877727083,Argentine poetry
0486206173,Games
8845229041,Fiction
887641486X,Fiction
0140370900,Juvenile Fiction
0674511255,Presidents
0312965745,Health & Fitness
0345374657,Health & Fitness
0395710901,Family & Relationships
080521061X,Education
0823032612,Art
