age,education,hours-per-week,native-country,salary
39, Bachelors,40, United-States, <=50K
50, Bachelors,13, United-States, <=50K
38, HS-grad,40, United-States, <=50K
53, 11th,40, United-States, <=50K
28, Bachelors,40, Cuba, <=50K
37, Masters,40, United-States, <=50K
49, 9th,16, Jamaica, <=50K
52, HS-grad,45, United-States, >50K
31, Masters,50, United-States, >50K
42, Bachelors,40, United-States, >50K
37, Some-college,80, United-States, >50K
30, Bachelors,40, India, >50K
23, Bachelors,30, United-States, <=50K
32, Assoc-acdm,50, United-States, <=50K
40, Assoc-voc,40, ?, >50K
34, 7th-8th,45, Mexico, <=50K
25, HS-grad,35, United-States, <=50K
32, HS-grad,40, United-States, <=50K
38, 11th,50, United-States, <=50K
43, Masters,45, United-States, >50K
40, Doctorate,60, United-States, >50K
54, HS-grad,20, United-States, <=50K
35, 9th,40, United-States, <=50K
43, 11th,40, United-States, <=50K
59, HS-grad,40, United-States, <=50K
56, Bachelors,40, United-States, >50K
19, HS-grad,40, United-States, <=50K
54, Some-college,60, South, >50K
39, HS-grad,80, United-States, <=50K
49, HS-grad,40, United-States, <=50K
23, Assoc-acdm,52, United-States, <=50K
20, Some-college,44, United-States, <=50K
45, Bachelors,40, United-States, <=50K
30, Some-college,40, United-States, <=50K
22, Some-college,15, United-States, <=50K
48, 11th,40, Puerto-Rico, <=50K
21, Some-college,40, United-States, <=50K
19, HS-grad,25, United-States, <=50K
31, Some-college,38, ?, >50K
48, Assoc-acdm,40, United-States, <=50K
31, 9th,43, United-States, <=50K
53, Bachelors,40, United-States, <=50K
24, Bachelors,50, United-States, <=50K
49, HS-grad,40, United-States, <=50K
25, HS-grad,35, United-States, <=50K
57, Bachelors,40, United-States, >50K
53, HS-grad,38, United-States, <=50K
44, Masters,40, United-States, <=50K
41, Assoc-voc,40, United-States, <=50K
29, Assoc-voc,43, United-States, <=50K
25, Some-college,40, United-States, <=50K
18, HS-grad,30, ?, <=50K
47, Prof-school,60, Honduras, >50K
50, Bachelors,55, United-States, >50K
47, HS-grad,60, United-States, <=50K
43, Some-college,40, United-States, >50K
46, 5th-6th,40, Mexico, <=50K
35, Assoc-voc,40, Puerto-Rico, <=50K
41, HS-grad,48, United-States, <=50K
30, HS-grad,40, United-States, <=50K
30, Bachelors,40, United-States, <=50K
32, 7th-8th,40, ?, <=50K
48, HS-grad,40, United-States, <=50K
42, Doctorate,45, United-States, >50K
29, Some-college,58, United-States, <=50K
36, HS-grad,40, United-States, <=50K
28, Some-college,40, United-States, <=50K
53, HS-grad,40, United-States, >50K
49, Some-college,50, United-States, >50K
25, Some-college,40, United-States, <=50K
19, Some-college,32, United-States, <=50K
31, Bachelors,40, United-States, <=50K
29, Bachelors,70, United-States, >50K
23, Some-college,40, United-States, <=50K
79, Some-college,20, United-States, <=50K
27, HS-grad,40, Mexico, <=50K
40, Assoc-acdm,40, United-States, <=50K
67, 10th,2, United-States, <=50K
18, 11th,22, United-States, <=50K
31, 7th-8th,40, United-States, <=50K
18, HS-grad,30, United-States, <=50K
52, Bachelors,40, Cuba, <=50K
46, HS-grad,40, United-States, <=50K
59, HS-grad,48, United-States, <=50K
44, HS-grad,40, United-States, >50K
53, HS-grad,35, United-States, <=50K
49, HS-grad,40, United-States, >50K
33, Masters,50, United-States, <=50K
30, 9th,40, United-States, <=50K
43, Doctorate,50, United-States, >50K
57, Assoc-voc,40, United-States, <=50K
37, Some-college,40, United-States, <=50K
28, Some-college,25, United-States, <=50K
30, HS-grad,35, ?, <=50K
34, Bachelors,40, United-States, >50K
29, Some-college,50, United-States, <=50K
48, Doctorate,60, United-States, >50K
37, Some-college,48, United-States, >50K
48, Assoc-acdm,40, England, <=50K
32, HS-grad,40, United-States, <=50K
76, Masters,40, United-States, >50K
44, Bachelors,60, United-States, >50K
47, Masters,50, United-States, <=50K
20, Some-college,40, United-States, <=50K
29, HS-grad,40, United-States, <=50K
32, HS-grad,40, United-States, >50K
17, 10th,32, United-States, <=50K
30, 11th,40, United-States, <=50K
31, HS-grad,40, United-States, <=50K
42, HS-grad,40, United-States, <=50K
24, Bachelors,40, United-States, <=50K
38, Prof-school,40, United-States, >50K
56, HS-grad,50, Canada, >50K
28, Some-college,25, United-States, <=50K
36, HS-grad,40, United-States, <=50K
53, 9th,50, United-States, <=50K
56, Some-college,50, United-States, <=50K
49, Assoc-voc,40, United-States, >50K
55, Some-college,56, United-States, <=50K
22, HS-grad,41, United-States, <=50K
21, Some-college,40, United-States, <=50K
40, Bachelors,60, United-States, <=50K
30, Bachelors,40, Germany, <=50K
29, Bachelors,50, United-States, >50K
19, Some-college,35, United-States, <=50K
47, Bachelors,40, United-States, >50K
20, Some-college,28, United-States, <=50K
31, Assoc-acdm,40, United-States, >50K
35, HS-grad,40, United-States, <=50K
39, Some-college,40, United-States, <=50K
28, Assoc-acdm,60, United-States, <=50K
24, HS-grad,40, United-States, <=50K
38, HS-grad,35, United-States, <=50K
37, Bachelors,50, United-States, <=50K
46, Assoc-acdm,36, United-States, <=50K
38, Masters,40, Iran, >50K
43, HS-grad,60, United-States, <=50K
27, Assoc-voc,35, United-States, <=50K
20, Some-college,20, United-States, <=50K
49, Some-college,40, United-States, >50K
61, HS-grad,40, United-States, <=50K
27, Some-college,40, United-States, <=50K
19, Some-college,30, Mexico, <=50K
45, Assoc-voc,40, United-States, >50K
70, Some-college,40, United-States, <=50K
31, HS-grad,30, United-States, <=50K
22, Some-college,24, United-States, <=50K
36, HS-grad,24, United-States, <=50K
64, 11th,40, United-States, <=50K
43, Some-college,40, United-States, <=50K
47, Some-college,38, Mexico, <=50K
34, HS-grad,40, United-States, <=50K
33, Bachelors,40, Philippines, <=50K
21, HS-grad,35, United-States, <=50K
52, HS-grad,45, United-States, >50K
48, HS-grad,46, United-States, <=50K
23, Bachelors,40, United-States, <=50K
71, Some-college,2, United-States, <=50K
29, HS-grad,60, United-States, <=50K
42, Bachelors,50, United-States, <=50K
68, 1st-4th,20, United-States, <=50K
25, HS-grad,40, United-States, <=50K
44, Masters,40, United-States, <=50K
28, HS-grad,40, England, <=50K
45, Masters,40, United-States, >50K
36, Some-college,40, Mexico, <=50K
39, Assoc-acdm,42, United-States, <=50K
46, Masters,40, United-States, <=50K
18, 11th,16, United-States, <=50K
66, Assoc-voc,20, United-States, <=50K
27, HS-grad,40, United-States, <=50K
28, HS-grad,40, United-States, <=50K
51, Some-college,40, United-States, >50K
27, Bachelors,50, United-States, <=50K
28, Bachelors,40, United-States, >50K
27, HS-grad,25, United-States, <=50K
21, HS-grad,40, United-States, <=50K
34, HS-grad,40, United-States, <=50K
18, HS-grad,12, United-States, <=50K
33, Bachelors,65, United-States, <=50K
44, Some-college,38, United-States, >50K
43, Some-college,40, United-States, <=50K
30, Some-college,45, United-States, <=50K
40, 7th-8th,40, Mexico, >50K
37, Some-college,42, United-States, >50K
34, HS-grad,40, United-States, <=50K
41, Bachelors,40, United-States, <=50K
53, Bachelors,50, United-States, <=50K
31, Masters,50, United-States, <=50K
58, Doctorate,1, United-States, >50K
38, Some-college,28, United-States, <=50K
24, Some-college,40, United-States, <=50K
41, Bachelors,40, United-States, <=50K
47, Some-college,45, United-States, <=50K
41, Bachelors,24, United-States, <=50K
23, 5th-6th,40, Mexico, <=50K
36, Some-college,40, United-States, <=50K
40, Masters,55, United-States, >50K
35, Masters,40, United-States, >50K
24, HS-grad,40, United-States, <=50K
26, Masters,40, United-States, <=50K
19, HS-grad,40, Italy, <=50K
51, Bachelors,50, United-States, >50K
42, Some-college,40, United-States, <=50K
37, HS-grad,35, United-States, <=50K
18, 11th,40, United-States, <=50K
36, Bachelors,36, United-States, >50K
35, HS-grad,60, United-States, <=50K
58, HS-grad,35, United-States, >50K
17, 11th,12, United-States, <=50K
44, HS-grad,40, United-States, <=50K
37, HS-grad,40, United-States, >50K
35, Some-college,40, United-States, <=50K
60, HS-grad,40, United-States, <=50K
54, 7th-8th,40, United-States, >50K
37, Bachelors,60, United-States, >50K
50, Assoc-acdm,40, United-States, <=50K
38, Bachelors,50, Poland, <=50K
45, Bachelors,55, United-States, <=50K
25, 10th,40, United-States, <=50K
31, Some-college,40, United-States, <=50K
64, 1st-4th,40, United-States, <=50K
90, HS-grad,40, United-States, <=50K
54, HS-grad,20, United-States, <=50K
53, Preschool,35, United-States, <=50K
18, HS-grad,40, United-States, <=50K
60, 10th,10, United-States, <=50K
66, HS-grad,50, United-States, <=50K
75, Assoc-voc,20, Columbia, <=50K
65, HS-grad,40, United-States, <=50K
35, 11th,40, United-States, <=50K
41, HS-grad,38, United-States, <=50K
25, Some-college,42, United-States, <=50K
33, Some-college,40, United-States, <=50K
28, Prof-school,55, United-States, >50K
59, HS-grad,40, United-States, <=50K
40, Some-college,38, United-States, <=50K
41, Bachelors,50, Iran, >50K
38, Masters,70, United-States, >50K
23, HS-grad,40, United-States, <=50K
40, Bachelors,40, United-States, >50K
41, HS-grad,20, United-States, <=50K
24, Assoc-acdm,50, United-States, <=50K
20, Some-college,20, United-States, <=50K
38, Some-college,40, United-States, <=50K
56, HS-grad,35, ?, <=50K
58, HS-grad,45, United-States, >50K
32, HS-grad,34, United-States, <=50K
40, Assoc-acdm,60, United-States, >50K
45, HS-grad,40, ?, <=50K
41, Prof-school,40, United-States, >50K
42, Bachelors,40, United-States, <=50K
59, 10th,30, United-States, <=50K
19, Some-college,40, United-States, <=50K
58, Some-college,20, United-States, <=50K
42, HS-grad,40, Cambodia, >50K
20, HS-grad,40, United-States, <=50K
32, HS-grad,30, United-States, <=50K
45, Assoc-voc,45, United-States, <=50K
50, 7th-8th,40, United-States, <=50K
36, Bachelors,40, United-States, <=50K
45, HS-grad,60, United-States, <=50K
17, 11th,12, United-States, <=50K
59, Some-college,40, United-States, <=50K
26, 11th,40, United-States, <=50K
37, Some-college,75, Thailand, >50K
19, Some-college,24, Canada, <=50K
64, HS-grad,40, United-States, >50K
33, Bachelors,45, United-States, <=50K
33, HS-grad,40, United-States, >50K
61, HS-grad,40, United-States, >50K
17, 9th,24, United-States, <=50K
50, Masters,98, United-States, <=50K
27, Masters,35, United-States, <=50K
30, HS-grad,40, United-States, <=50K
43, HS-grad,40, United-States, <=50K
44, Some-college,40, United-States, >50K
35, Some-college,40, United-States, <=50K
25, Some-college,40, United-States, <=50K
24, Some-college,48, United-States, >50K
22, Bachelors,15, Germany, <=50K
42, Some-college,40, United-States, >50K
34, Assoc-acdm,45, United-States, <=50K
60, Bachelors,42, United-States, <=50K
21, HS-grad,40, United-States, <=50K
57, Masters,40, United-States, >50K
41, Prof-school,60, United-States, >50K
50, Some-college,45, United-States, <=50K
25, Bachelors,40, United-States, <=50K
50, 7th-8th,40, Ecuador, <=50K
36, Bachelors,45, United-States, <=50K
31, HS-grad,40, United-States, <=50K
29, Bachelors,56, United-States, <=50K
21, Some-college,45, United-States, <=50K
27, Bachelors,40, United-States, <=50K
65, HS-grad,16, United-States, <=50K
37, Bachelors,60, United-States, <=50K
39, Masters,40, ?, <=50K
24, HS-grad,40, United-States, <=50K
38, HS-grad,80, United-States, <=50K
48, Bachelors,40, United-States, >50K
21, Some-college,25, United-States, <=50K
31, HS-grad,45, United-States, >50K
55, HS-grad,40, United-States, >50K
24, Some-college,40, Laos, <=50K
43, HS-grad,40, United-States, <=50K
26, Assoc-acdm,45, United-States, <=50K
46, Assoc-acdm,33, United-States, <=50K
35, Assoc-acdm,40, United-States, >50K
41, Some-college,54, United-States, >50K
26, Bachelors,40, United-States, <=50K
34, Masters,35, Taiwan, >50K
19, Some-college,25, United-States, <=50K
36, Bachelors,40, United-States, >50K
22, Some-college,15, United-States, <=50K
24, Some-college,40, United-States, <=50K
77, Some-college,40, United-States, <=50K
22, 5th-6th,40, Mexico, <=50K
29, Some-college,40, United-States, <=50K
62, HS-grad,24, United-States, <=50K
39, HS-grad,40, United-States, <=50K
43, Some-college,50, United-States, <=50K
35, HS-grad,45, United-States, <=50K
29, 11th,40, United-States, <=50K
76, Masters,10, United-States, <=50K
63, HS-grad,45, United-States, <=50K
23, Assoc-voc,15, United-States, <=50K
43, Some-college,50, United-States, >50K
58, HS-grad,40, United-States, <=50K
66, HS-grad,55, United-States, <=50K
41, Some-college,45, United-States, <=50K
26, Bachelors,40, United-States, <=50K
47, Assoc-voc,40, United-States, <=50K
55, 10th,40, United-States, <=50K
53, HS-grad,40, United-States, <=50K
17, 5th-6th,48, Mexico, <=50K
30, HS-grad,40, United-States, <=50K
49, Masters,60, United-States, <=50K
19, HS-grad,30, Haiti, <=50K
45, HS-grad,40, United-States, <=50K
26, Assoc-acdm,40, United-States, <=50K
38, Assoc-voc,40, United-States, >50K
36, HS-grad,40, United-States, >50K
33, HS-grad,20, United-States, <=50K
22, Some-college,40, United-States, <=50K
43, Bachelors,42, United-States, <=50K
67, 11th,8, United-States, <=50K
30, Assoc-voc,40, United-States, <=50K
56, Assoc-acdm,25, Iran, <=50K
31, Bachelors,25, United-States, <=50K
33, Bachelors,40, United-States, >50K
26, HS-grad,40, United-States, <=50K
33, Bachelors,40, United-States, >50K
46, 11th,30, United-States, <=50K
59, Bachelors,40, United-States, >50K
38, HS-grad,40, United-States, >50K
65, 11th,40, United-States, <=50K
40, Assoc-voc,40, United-States, >50K
42, HS-grad,35, United-States, <=50K
26, 9th,40, Portugal, <=50K
36, 10th,24, United-States, <=50K
62, Masters,40, United-States, >50K
43, Bachelors,45, United-States, <=50K
43, Bachelors,45, United-States, >50K
22, HS-grad,55, United-States, <=50K
28, HS-grad,40, United-States, <=50K
56, Some-college,45, United-States, <=50K
22, Assoc-acdm,15, United-States, <=50K
57, Bachelors,45, United-States, >50K
39, HS-grad,40, United-States, <=50K
26, Some-college,15, United-States, <=50K
17, 11th,10, United-States, <=50K
40, Assoc-voc,38, United-States, >50K
45, HS-grad,40, United-States, <=50K
44, HS-grad,40, United-States, <=50K
20, Some-college,10, United-States, <=50K
33, HS-grad,40, United-States, <=50K
23, Some-college,40, United-States, <=50K
46, Masters,30, United-States, <=50K
38, HS-grad,50, United-States, <=50K
54, HS-grad,40, United-States, <=50K
46, 5th-6th,45, United-States, <=50K
25, Some-college,40, United-States, <=50K
46, Some-college,40, United-States, <=50K
36, Some-college,40, United-States, <=50K
23, HS-grad,25, United-States, <=50K
29, HS-grad,40, United-States, <=50K
44, Some-college,6, United-States, >50K
19, Some-college,16, United-States, <=50K
19, HS-grad,40, United-States, <=50K
35, HS-grad,40, United-States, >50K
27, Bachelors,50, United-States, <=50K
46, Assoc-acdm,40, United-States, <=50K
34, Bachelors,45, ?, >50K
34, HS-grad,35, United-States, <=50K
44, Some-college,40, United-States, <=50K
45, Some-college,40, United-States, <=50K
20, HS-grad,35, United-States, <=50K
25, Bachelors,55, United-States, >50K
52, Bachelors,50, United-States, >50K
20, Some-college,40, United-States, <=50K
28, Some-college,40, United-States, <=50K
50, Bachelors,40, United-States, >50K
34, Assoc-voc,64, United-States, <=50K
28, 7th-8th,40, Puerto-Rico, <=50K
41, Masters,65, United-States, >50K
28, HS-grad,40, United-States, <=50K
46, HS-grad,25, United-States, <=50K
28, Some-college,40, United-States, >50K
32, Some-college,50, United-States, <=50K
41, Some-college,24, United-States, <=50K
24, HS-grad,40, United-States, <=50K
33, Some-college,40, United-States, <=50K
46, Doctorate,60, United-States, >50K
31, Some-college,40, United-States, <=50K
35, 12th,50, United-States, >50K
52, 1st-4th,40, Mexico, <=50K
30, 11th,19, United-States, <=50K
34, 11th,40, United-States, <=50K
34, HS-grad,40, United-States, <=50K
20, Some-college,30, United-States, <=50K
17, 11th,18, United-States, <=50K
32, Bachelors,40, United-States, >50K
29, HS-grad,40, United-States, <=50K
33, 10th,35, United-States, <=50K
25, HS-grad,60, United-States, <=50K
36, Masters,40, United-States, <=50K
23, HS-grad,72, Dominican-Republic, <=50K
63, HS-grad,40, United-States, >50K
47, Masters,40, United-States, <=50K
80, HS-grad,24, United-States, <=50K
17, 11th,40, United-States, <=50K
40, Bachelors,40, United-States, <=50K
30, Assoc-acdm,25, United-States, >50K
27, Some-college,40, Philippines, <=50K
33, Masters,50, United-States, >50K
34, HS-grad,60, United-States, <=50K
34, Some-college,40, United-States, <=50K
23, Some-college,40, United-States, <=50K
42, Some-college,40, United-States, <=50K
29, Bachelors,40, United-States, <=50K
45, HS-grad,28, United-States, <=50K
24, HS-grad,40, United-States, <=50K
44, Some-college,40, United-States, >50K
27, 9th,40, Mexico, <=50K
20, Some-college,35, United-States, <=50K
44, HS-grad,40, United-States, <=50K
51, HS-grad,40, United-States, <=50K
20, HS-grad,40, United-States, <=50K
17, 11th,5, United-States, <=50K
19, HS-grad,40, United-States, <=50K
45, Some-college,55, United-States, >50K
60, HS-grad,40, United-States, >50K
42, Assoc-acdm,40, ?, >50K
44, HS-grad,40, United-States, >50K
40, Assoc-voc,40, United-States, >50K
30, HS-grad,40, United-States, <=50K
38, Some-college,50, United-States, <=50K
23, HS-grad,60, United-States, <=50K
32, Some-college,40, United-States, <=50K
44, Assoc-acdm,40, United-States, <=50K
54, HS-grad,40, United-States, <=50K
32, Bachelors,50, United-States, <=50K
50, 1st-4th,40, United-States, <=50K
24, Bachelors,20, United-States, <=50K
37, HS-grad,60, United-States, <=50K
52, HS-grad,40, United-States, <=50K
38, Some-college,40, United-States, <=50K
49, Masters,45, United-States, >50K
30, Bachelors,16, United-States, >50K
60, Some-college,40, United-States, >50K
22, Some-college,40, United-States, <=50K
35, HS-grad,40, United-States, <=50K
30, HS-grad,60, United-States, <=50K
67, Assoc-voc,24, United-States, <=50K
46, Bachelors,40, United-States, <=50K
17, 9th,6, United-States, <=50K
22, Some-college,30, United-States, <=50K
27, 10th,40, United-States, <=50K
23, HS-grad,35, United-States, <=50K
33, Assoc-acdm,45, Portugal, <=50K
43, Some-college,20, United-States, <=50K
28, Bachelors,20, United-States, <=50K
41, HS-grad,40, United-States, <=50K
52, 12th,40, United-States, <=50K
25, Some-college,20, United-States, <=50K
63, 1st-4th,35, United-States, <=50K
59, HS-grad,45, United-States, <=50K
45, Bachelors,40, United-States, <=50K
38, Bachelors,60, United-States, >50K
40, HS-grad,35, United-States, <=50K
46, HS-grad,40, United-States, <=50K
35, Assoc-acdm,60, United-States, <=50K
34, HS-grad,25, United-States, <=50K
33, Bachelors,20, United-States, <=50K
41, HS-grad,36, United-States, <=50K
20, Some-college,40, United-States, <=50K
23, 5th-6th,40, El-Salvador, <=50K
