observation_id,Type,Date,Part of a policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,station,Search Outcome
8b2de40d-d98b-4cb5-a77e-8847513810c9,Person and Vehicle search,2018-10-07T22:15:00+00:00,False,,,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,west-yorkshire,False
3d8b65a4-dc7b-434a-9387-5b2f28ad0cea,Person search,2019-10-23T14:37:00+00:00,False,51.552329,0.202845,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
e4680725-31e8-46b9-9ee2-95d04883ca87,Person and Vehicle search,2019-06-06T16:30:00+00:00,False,51.626069,-0.057856,Male,10-17,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,metropolitan,False
0a4ba7fe-b838-4330-80db-cb0bbbbdbcad,Person and Vehicle search,2019-12-01T01:01:00+00:00,False,51.893386,0.266696,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,essex,False
b3f70646-2979-479a-8bec-b8ffa5f8fb37,Person and Vehicle search,2018-12-14T10:32:17+00:00,False,52.191449,-1.711888,Male,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,True,warwickshire,True
98618c05-77bc-42dd-8413-eeba720d3cc3,Person and Vehicle search,2018-06-18T23:19:00+00:00,False,51.473182,-0.320103,Female,18-24,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,metropolitan,False
1ee1b3c2-a364-4299-aa49-f42b6de6dd8b,Person search,2018-06-02T20:24:00+00:00,False,51.333537,-0.268207,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,,surrey,False
1c939185-f517-45b2-8f7b-32fc12185193,Person search,2018-04-25T23:15:00+00:00,False,51.474276,-0.128678,Male,25-34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,,,metropolitan,False
090096d1-e582-422e-9e62-5ada85a41e0f,Person search,2019-04-23T19:20:00+00:00,True,51.394528,0.493637,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,True,kent,False
a22f7378-9dcf-4ba5-8db4-410b60ec5e7f,Person search,2019-08-05T23:20:00+00:00,False,51.551407,-0.31956,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,metropolitan,False
6b4172ee-da75-4f42-b4b0-5fe41ac1c419,Person search,2019-11-15T08:32:52+00:00,,53.421577,-2.932172,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False,merseyside,False
740bd2d7-7653-41b5-b94b-d50ba7ee85a5,Person search,2018-04-09T15:55:00+00:00,False,51.5267,0.023128,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
6e9002ce-acca-48cd-9460-ccbb696936e3,Person search,2019-03-05T01:35:00+00:00,,,,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False,cheshire,False
96b13d6f-b02d-4b61-85a4-d8a4fb65a2ca,Person and Vehicle search,2018-11-16T00:00:00+00:00,,,,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,True,dyfed-powys,False
8eb02447-0346-476f-878f-7b1872dc6a0b,Person search,2019-09-02T17:10:00+00:00,False,,,Male,10-17,Black/African/Caribbean/Black British - African,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,metropolitan,False
9c88dc58-c982-4751-86e2-923548250928,Person search,2019-05-06T17:22:57+00:00,False,52.19133,-1.710997,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,,warwickshire,False
03a944dd-3500-415f-995e-43e4cb7abd77,Person and Vehicle search,2019-10-10T11:38:00+00:00,False,51.342595,1.41042,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,kent,False
1920d223-dc6a-4494-b5e2-e51da39559d5,Person search,2019-02-22T12:49:00+00:00,False,,,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
57b9c095-ef6f-424e-a16e-e30d5553f7bc,Person and Vehicle search,2018-03-18T01:01:00+00:00,False,51.549887,0.611108,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,essex,False
22356b09-0895-44ad-8e79-ff895e2b3413,Person search,2019-06-23T01:57:22+00:00,,53.40219200000001,-2.976571,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False,merseyside,False
b9ed9051-4dcd-4539-80b8-400cdb685144,Person search,2019-12-19T19:01:00+00:00,False,51.771138,0.092759,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,essex,False
29be3168-baec-4b29-8c2f-1eba27d368d2,Person search,2017-12-16T00:20:00+00:00,False,51.58823,-0.08033,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,,metropolitan,False
